alert_type,placa,plaza_limpia,seatbelt_off_rate_30d,high_speed_ratio_30d,idle_hours_ratio_30d,telemetry_health_score,suggested_scenario,risk_score,needs_protection
safety,NZT1108,EDOMEX - TLANEPANTLA,0.502290892924898,0.5055601652608043,0.3066604939285386,0.6722247941964422,restructure-light,0.557060000255452,1
safety,MHC436A,EDOMEX - TLANEPANTLA,0.5016718297437638,0.5266577673036468,0.5486493388110407,0.571396108828733,restructure-light,0.382182560780568,1
safety,NZJ2375,EDOMEX - ECATEPEC,0.5012489559505057,0.443909364603989,0.5083768486074036,0.5881763130802484,restructure-light,0.4222478747568038,1
safety,PAA6858,EDOMEX - TLANEPANTLA,0.5009571233761942,0.458945735537204,0.2104216863633175,0.7123242973486177,restructure-light,0.4261815248094289,1
safety,A7861A,EDOMEX - ECATEPEC,0.5007490679256348,0.4053552381580904,0.7271753224532478,0.55,restructure-light,0.4936741315872853,1
safety,A01332A,AGUASCALIENTES,0.5000039249453622,0.401875267905365,0.3170291948580077,0.6679045021424967,advisor-review,0.2200106169345504,1
safety,A8584C,EDOMEX - TLANEPANTLA,0.4991537208513182,0.4774042220365417,0.3354867479386174,0.6602138550255761,restructure-light,0.4717663886999725,1
safety,701TL011C,EDOMEX - TLANEPANTLA,0.4990490082068263,0.4375605851462033,0.3442268466724374,0.6565721472198177,advisor-review,0.1577105843670023,1
safety,PDE3038,EDOMEX - TLANEPANTLA,0.4986863266586437,0.3737755103418078,0.5662226124860684,0.565384330339547,restructure-light,0.5815663081324662,1
safety,MHJ174B,EDOMEX - ECATEPEC,0.4978139437132135,0.4522266216147623,0.3388687700559936,0.658804679143336,restructure-light,0.5570888142338141,1
safety,A0921D,EDOMEX - TLANEPANTLA,0.4976224266719383,0.4329275656105463,0.4839675977788763,0.5983468342588015,restructure-light,0.5094984926071048,1
safety,A5026G,EDOMEX - TLANEPANTLA,0.4962911580589094,0.5041137504127596,0.4928227008661991,0.5946572079724171,restructure-light,0.4836504660480822,1
safety,CR5815,EDOMEX - ECATEPEC,0.4961698352506014,0.4742664077448315,0.5309444115168768,0.578773161867968,monitor,0.1403800497611939,0
safety,NVP3635,EDOMEX - TLANEPANTLA,0.4959146560529098,0.4690156583881094,0.3324553866211668,0.6614769222411805,restructure-light,0.4546267580310407,1
safety,A00001A,AGUASCALIENTES,0.4938444222992752,0.3808838507591714,0.246322495510347,0.6973656268706887,restructure-light,0.2979214773973639,1
safety,MZM886B,EDOMEX - ECATEPEC,0.4936907838449652,0.3750619186262797,0.6367759275792363,0.5510395960786779,restructure-light,0.5311347699812774,1
safety,NTJ047A,EDOMEX - TLANEPANTLA,0.4911068164612566,0.4244634794633567,0.260538040699117,0.6914424830420345,restructure-light,0.4676248218095659,1
safety,PDP9133,EDOMEX - ECATEPEC,0.489120830941753,0.3867954380719346,0.3343232529045682,0.6606986446230966,restructure-light,0.4611071640279125,1
safety,CR5858,EDOMEX - ECATEPEC,0.4890074921641141,0.5044459686471489,0.4796639642687531,0.6001400148880195,monitor,0.1456276828078616,0
safety,A05151A,AGUASCALIENTES,0.488307381249684,0.4264720722740389,0.6159406097167818,0.55,advisor-review,0.2659595330901848,1
safety,ECO15,EDOMEX - TLANEPANTLA,0.4866702668501632,0.3942473838160125,0.4448254702173521,0.6146560540761032,restructure-light,0.5462745044514055,1
safety,NJT3798,EDOMEX - TLANEPANTLA,0.4862379703515621,0.4486235096581897,0.4923164844936696,0.594868131460971,restructure-light,0.54514323170491,1
safety,A064,EDOMEX - ECATEPEC,0.485196344983279,0.4746283970322722,0.6057996330761327,0.55,restructure-light,0.5297094911091766,1
safety,CR5851,EDOMEX - TLANEPANTLA,0.4841516798538529,0.5053022601088497,0.4897639302934627,0.5959316957110572,monitor,0.1669683045784382,0
safety,A8402L,EDOMEX - ECATEPEC,0.4833004735513493,0.380242380050969,0.5492108823741251,0.5711621323441145,restructure-light,0.4902196266773028,1
safety,A7515C,EDOMEX - TLANEPANTLA,0.4832834454021938,0.5182154786351845,0.5423128136225791,0.5740363276572586,restructure-light,0.4619877605567667,1
