placa,alert_type,severity,details,triggered_at,code,diagnostic_id
A00212A,downtime,high,154.7 h sin movimiento en 30d | Cobertura 14d: 0.69,2019-02-05T00:00:00,,
A00095A,downtime,high,175.7 h sin movimiento en 30d | Cobertura 14d: 0.55,2019-05-16T00:00:00,,
A00096A,downtime,high,132.6 h sin movimiento en 30d | Cobertura 14d: 0.60,2019-06-21T00:00:00,,
A00070A,downtime,high,212.6 h sin movimiento en 30d | Cobertura 14d: 0.60,2019-09-05T00:00:00,,
A01703A,downtime,high,204.4 h sin movimiento en 30d | Cobertura 14d: 0.44,2019-10-11T00:00:00,,
A00772A,downtime,high,139.5 h sin movimiento en 30d | Cobertura 14d: 0.70,2019-10-17T00:00:00,,
A01278A,downtime,high,198.0 h sin movimiento en 30d | Cobertura 14d: 0.47,2020-01-18T00:00:00,,
A145AA,downtime,high,271.2 h sin movimiento en 30d | Cobertura 14d: 0.33,2020-02-11T00:00:00,,
A00136A,downtime,high,279.0 h sin movimiento en 30d | Cobertura 14d: 0.40,2020-02-17T00:00:00,,
A01156A,downtime,high,221.9 h sin movimiento en 30d | Cobertura 14d: 0.39,2020-03-05T00:00:00,,
A01146A,downtime,high,234.8 h sin movimiento en 30d | Cobertura 14d: 0.34,2020-03-18T00:00:00,,
A01146A,downtime,high,278.9 h sin movimiento en 30d | Cobertura 14d: 0.24,2020-03-18T00:00:00,,
A00897A,downtime,high,245.7 h sin movimiento en 30d | Cobertura 14d: 0.43,2020-04-02T00:00:00,,
A00897A,downtime,high,183.9 h sin movimiento en 30d | Cobertura 14d: 0.52,2020-04-02T00:00:00,,
A01901A,downtime,high,164.8 h sin movimiento en 30d | Cobertura 14d: 0.52,2020-04-13T00:00:00,,
A00038A,downtime,high,140.0 h sin movimiento en 30d | Cobertura 14d: 0.68,2020-05-11T00:00:00,,
A00334A,downtime,high,135.0 h sin movimiento en 30d | Cobertura 14d: 0.59,2020-06-08T00:00:00,,
A00148A,downtime,high,123.1 h sin movimiento en 30d | Cobertura 14d: 0.55,2020-06-23T00:00:00,,
A00800A,downtime,high,214.9 h sin movimiento en 30d | Cobertura 14d: 0.52,2020-09-17T00:00:00,,
A00091A,downtime,high,247.7 h sin movimiento en 30d | Cobertura 14d: 0.38,2020-10-13T00:00:00,,
A02321A,downtime,high,209.1 h sin movimiento en 30d | Cobertura 14d: 0.52,2020-10-21T00:00:00,,
A02321A,downtime,high,414.8 h sin movimiento en 30d | Cobertura 14d: 0.32,2020-10-21T00:00:00,,
A01129A,downtime,high,209.7 h sin movimiento en 30d | Cobertura 14d: 0.40,2021-01-24T00:00:00,,
A00786A,downtime,high,175.9 h sin movimiento en 30d | Cobertura 14d: 0.51,2021-02-09T00:00:00,,
A01249A,downtime,high,253.0 h sin movimiento en 30d | Cobertura 14d: 0.43,2021-02-11T00:00:00,,
A00215A,downtime,high,166.1 h sin movimiento en 30d | Cobertura 14d: 0.52,2021-02-20T00:00:00,,
A01216A,downtime,high,232.8 h sin movimiento en 30d | Cobertura 14d: 0.34,2021-03-07T00:00:00,,
A01216A,downtime,high,326.0 h sin movimiento en 30d | Cobertura 14d: 0.27,2021-03-07T00:00:00,,
A00770A,downtime,high,142.6 h sin movimiento en 30d | Cobertura 14d: 0.53,2021-03-23T00:00:00,,
A00770A,downtime,high,362.5 h sin movimiento en 30d | Cobertura 14d: 0.37,2021-03-23T00:00:00,,
A00865A,downtime,high,159.2 h sin movimiento en 30d | Cobertura 14d: 0.54,2021-04-23T00:00:00,,
A01133A,downtime,high,233.8 h sin movimiento en 30d | Cobertura 14d: 0.33,2021-05-11T00:00:00,,
A00039A,downtime,high,189.8 h sin movimiento en 30d | Cobertura 14d: 0.51,2021-06-13T00:00:00,,
A00300A,downtime,high,176.5 h sin movimiento en 30d | Cobertura 14d: 0.47,2021-07-30T00:00:00,,
A00383A,downtime,high,167.3 h sin movimiento en 30d | Cobertura 14d: 0.44,2021-08-03T00:00:00,,
