internal_ref,has_toyota_equivalence,providers,part_numbers,descriptions,has_aftermarket_equivalence,aftermarket_providers,aftermarket_part_numbers,aftermarket_descriptions,toyota_part_numbers,toyota_descriptions
04465-26420,False,Akyoto; NIBK; TRW,AKD26420; GDB7579; PN1516,Pastillas de freno Akyoto AKD26420; Pastillas de freno NIBK PN1516; Pastillas de freno TRW GDB7579,True,Akyoto; NIBK; TRW,AKD26420; GDB7579; PN1516,Pastillas de freno Akyoto AKD26420; Pastillas de freno NIBK PN1516; Pastillas de freno TRW GDB7579,,
10FCA-00518-200,False,Denso; NGK; Standard Motor Products,190500-2240; 70098; PC640,Sensor de posición cigüeñal Denso 190500-2240; Sensor de posición cigüeñal NGK 70098; Sensor de posición cigüeñal SMP PC640,True,Denso; NGK; Standard Motor Products,190500-2240; 70098; PC640,Sensor de posición cigüeñal Denso 190500-2240; Sensor de posición cigüeñal NGK 70098; Sensor de posición cigüeñal SMP PC640,,
10FCA-08524-200,False,Bosch; Denso; NGK,15733; 234-9006; OZA669-EC3,Sensor de oxígeno Bosch 15733; Sensor de oxígeno Denso 234-9006; Sensor de oxígeno NGK OZA669-EC3,True,Bosch; Denso; NGK,15733; 234-9006; OZA669-EC3,Sensor de oxígeno Bosch 15733; Sensor de oxígeno Denso 234-9006; Sensor de oxígeno NGK OZA669-EC3,,
10FCA-14507-200,True,Toyota OEM,12204-0C030,Requiere pieza OEM o sin equivalente aftermarket,False,,,,12204-0C030,Requiere pieza OEM o sin equivalente aftermarket
10FCA-14509-200,False,Denso; NGK; Standard Motor Products,196300-2010; 94472; PC492,Sensor de posición árbol de levas Denso 196300-2010; Sensor de posición árbol de levas NGK 94472; Sensor de posición árbol de levas SMP PC492,True,Denso; NGK; Standard Motor Products,196300-2010; 94472; PC492,Sensor de posición árbol de levas Denso 196300-2010; Sensor de posición árbol de levas NGK 94472; Sensor de posición árbol de levas SMP PC492,,
10FCA-21512-200,False,Aisin; Cardone; TRW,206605; JPR173; PMP-0152,Bomba de dirección Aisin PMP-0152; Bomba de dirección Cardone 206605 (exchange); Bomba de dirección TRW JPR173,True,Aisin; Cardone; TRW,206605; JPR173; PMP-0152,Bomba de dirección Aisin PMP-0152; Bomba de dirección Cardone 206605 (exchange); Bomba de dirección TRW JPR173,,
11FCA-04501-200,False,Beck Arnley; Denso; NGK,178-7495; 673-1303; U5039,Bobina de encendido Beck Arnley 178-7495; Bobina de encendido Denso 673-1303; Bobina de encendido NGK U5039,True,Beck Arnley; Denso; NGK,178-7495; 673-1303; U5039,Bobina de encendido Beck Arnley 178-7495; Bobina de encendido Denso 673-1303; Bobina de encendido NGK U5039,,
11FCA-04505-200,False,Denso; NGK,FK20HR11; LFR5AIX-11; SKJ20DR-M11,Bujía iridium Denso FK20HR11; Bujía iridium Denso SKJ20DR-M11; Bujía iridium NGK LFR5AIX-11,True,Denso; NGK,FK20HR11; LFR5AIX-11; SKJ20DR-M11,Bujía iridium Denso FK20HR11; Bujía iridium Denso SKJ20DR-M11; Bujía iridium NGK LFR5AIX-11,,
11FCC-09010-C2,False,Hengst; Mahle; WIX,E309L09; LX3805; WA10829,Filtro de aire equivalente Hengst E309L09; Filtro de aire equivalente Mahle LX3805; Filtro de aire equivalente WIX WA10829,True,Hengst; Mahle; WIX,E309L09; LX3805; WA10829,Filtro de aire equivalente Hengst E309L09; Filtro de aire equivalente Mahle LX3805; Filtro de aire equivalente WIX WA10829,,
11Z15-05010,False,Baldwin; Mahle; WIX,BF7534; KL145; WL7401,Filtro de combustible equivalente Baldwin BF7534; Filtro de combustible equivalente Mahle KL145; Filtro de combustible equivalente WIX WL7401,True,Baldwin; Mahle; WIX,BF7534; KL145; WL7401,Filtro de combustible equivalente Baldwin BF7534; Filtro de combustible equivalente Mahle KL145; Filtro de combustible equivalente WIX WL7401,,
133TZ-06501,False,Gates; Mahle; Vemo,TH26819; V20-67-0073,Termostato Gates TH26819; Termostato Mahle TH26819; Termostato Vemo V20-67-0073,True,Gates; Mahle; Vemo,TH26819; V20-67-0073,Termostato Gates TH26819; Termostato Mahle TH26819; Termostato Vemo V20-67-0073,,
13FCA-00502-200,False,AISIN; GRAF; KAMOKA,PA1080; T0267; WPT-168V,Bomba de agua AISIN WPT-168V; Bomba de agua GRAF PA1080; Bomba de agua KAMOKA T0267,True,AISIN; GRAF; KAMOKA,PA1080; T0267; WPT-168V,Bomba de agua AISIN WPT-168V; Bomba de agua GRAF PA1080; Bomba de agua KAMOKA T0267,,
16FCA-00501-200,False,LuK; Sachs; Valeo,3000960001; 624-0310; 826793,Kit de embrague LuK 624-0310; Kit de embrague Sachs 3000 960 001; Kit de embrague Valeo 826793,True,LuK; Sachs; Valeo,3000960001; 624-0310; 826793,Kit de embrague LuK 624-0310; Kit de embrague Sachs 3000 960 001; Kit de embrague Valeo 826793,,
16FCA-00502-200,False,LuK; Sachs; Valeo,3000960001; 624-0310; 826793,Kit de embrague LuK 624-0310; Kit de embrague Sachs 3000 960 001; Kit de embrague Valeo 826793,True,LuK; Sachs; Valeo,3000960001; 624-0310; 826793,Kit de embrague LuK 624-0310; Kit de embrague Sachs 3000 960 001; Kit de embrague Valeo 826793,,
16FCU-04020,False,AISIN; LuK; TRW,535-0200; CST-023; PSC65,Cilindro de embrague AISIN CST-023; Cilindro de embrague LuK 535-0200; Cilindro de embrague TRW PSC65,True,AISIN; LuK; TRW,535-0200; CST-023; PSC65,Cilindro de embrague AISIN CST-023; Cilindro de embrague LuK 535-0200; Cilindro de embrague TRW PSC65,,
16Z15-05010,False,AISIN; LuK; TRW,520-0350; CMT-048; PMF598,Bomba de embrague AISIN CMT-048; Bomba de embrague LuK 520-0350; Bomba de embrague TRW PMF598,True,AISIN; LuK; TRW,520-0350; CMT-048; PMF598,Bomba de embrague AISIN CMT-048; Bomba de embrague LuK 520-0350; Bomba de embrague TRW PMF598,,
170GD-00503,False,Exedy; LuK; Valeo,602-0310; 826793; RB-C2012-SA314,Collarín de embrague Exedy RB-C2012-SA314; Collarín de embrague LuK 602-0310; Collarín de embrague Valeo 826793,True,Exedy; LuK; Valeo,602-0310; 826793; RB-C2012-SA314,Collarín de embrague Exedy RB-C2012-SA314; Collarín de embrague LuK 602-0310; Collarín de embrague Valeo 826793,,
17FC2-03025,True,Toyota OEM,33530-26240,Requiere pieza OEM o sin equivalente aftermarket,False,,,,33530-26240,Requiere pieza OEM o sin equivalente aftermarket
17FC2-03065,False,Dormann; Febi; TSK,15232; 33820-26280; 49732,Cable de transmisión Dormann 15232; Cable de transmisión Febi 49732; Cable de transmisión TSK 33820-26280,True,Dormann; Febi; TSK,15232; 33820-26280; 49732,Cable de transmisión Dormann 15232; Cable de transmisión Febi 49732; Cable de transmisión TSK 33820-26280,,
24FC1-00512,False,Blue Print; Brembo; TRW,14.5163.10; ADT34710; DF4242,Tambor de freno Blue Print ADT34710; Tambor de freno Brembo 14.5163.10; Tambor de freno TRW DF4242,True,Blue Print; Brembo; TRW,14.5163.10; ADT34710; DF4242,Tambor de freno Blue Print ADT34710; Tambor de freno Brembo 14.5163.10; Tambor de freno TRW DF4242,,
24FC1-00558,True,Toyota OEM,42421-26030,Requiere pieza OEM o sin equivalente aftermarket,False,,,,42421-26030,Requiere pieza OEM o sin equivalente aftermarket
24FC1-00562,False,KOYO; NTN; SKF,BR303320; BR303320D; LM102949/LM102910,Pista de maza KOYO BR303320D; Pista de maza NTN LM102949/LM102910; Pista de maza SKF BR303320,True,KOYO; NTN; SKF,BR303320; BR303320D; LM102949/LM102910,Pista de maza KOYO BR303320D; Pista de maza NTN LM102949/LM102910; Pista de maza SKF BR303320,,
24FC1-00563,True,Toyota OEM,43517-35010,Requiere pieza OEM o sin equivalente aftermarket,False,,,,43517-35010,Requiere pieza OEM o sin equivalente aftermarket
24FC1-00571,False,Febest; GSP; TrakMotive,0282-TRH200R; NC11198; TO-8034,Semieje Febest 0282-TRH200R; Semieje GSP NC11198; Semieje TrakMotive TO-8034,True,Febest; GSP; TrakMotive,0282-TRH200R; NC11198; TO-8034,Semieje Febest 0282-TRH200R; Semieje GSP NC11198; Semieje TrakMotive TO-8034,,
24FCC-00502-A,False,Aisin; Febi; TRW,25388; BKH-0004; KSP266,Kit de ajustadores Aisin BKH-0004; Kit de ajustadores Febi 25388; Kit de ajustadores TRW KSP266,True,Aisin; Febi; TRW,25388; BKH-0004; KSP266,Kit de ajustadores Aisin BKH-0004; Kit de ajustadores Febi 25388; Kit de ajustadores TRW KSP266,,
24FCC-00701-A,False,Bendix; Brembo; TRW,2289; GSP2147T; S24 508,Balatas Bendix 2289; Balatas Brembo S24 508; Balatas TRW GSP2147T,True,Bendix; Brembo; TRW,2289; GSP2147T; S24 508,Balatas Bendix 2289; Balatas Brembo S24 508; Balatas TRW GSP2147T,,
29Z15-02131-A,False,Sin proveedor,,Sin equivalente aftermarket y sin referencia Toyota,True,Sin proveedor,,Sin equivalente aftermarket y sin referencia Toyota,,
29Z15-02502,True,Toyota OEM,48046-26130,Requiere pieza OEM o sin equivalente aftermarket,False,,,,48046-26130,Requiere pieza OEM o sin equivalente aftermarket
29Z15-15001,True,Toyota OEM,48162-26520,Requiere pieza OEM o sin equivalente aftermarket,False,,,,48162-26520,Requiere pieza OEM o sin equivalente aftermarket
29Z15-21020,False,Ashika; KYB; Sachs,317169; 344204; MA-20096,Amortiguador trasero Ashika MA-20096; Amortiguador trasero KYB 344204; Amortiguador trasero Sachs 317 169,True,Ashika; KYB; Sachs,317169; 344204; MA-20096,Amortiguador trasero Ashika MA-20096; Amortiguador trasero KYB 344204; Amortiguador trasero Sachs 317 169,,
29Z15-25010,True,Toyota OEM,48067-29215,Requiere pieza OEM o sin equivalente aftermarket,False,,,,48067-29215,Requiere pieza OEM o sin equivalente aftermarket
29Z15-25020,True,Toyota OEM,48067-29215,Requiere pieza OEM o sin equivalente aftermarket,False,,,,48067-29215,Requiere pieza OEM o sin equivalente aftermarket
29Z15-25050,False,Febi; MOOG; TRW,48226; JBJ7551; TO-BJ-15985,Rótula Pitman Febi 48226; Rótula Pitman Moog TO-BJ-15985; Rótula Pitman TRW JBJ7551,True,Febi; MOOG; TRW,48226; JBJ7551; TO-BJ-15985,Rótula Pitman Febi 48226; Rótula Pitman Moog TO-BJ-15985; Rótula Pitman TRW JBJ7551,,
29Z15-25501,False,555 Japan; MOOG; TRW,EV80050; SC8095L; TIS509,Mango dirección izquierdo 555 Japan SC8095L; Mango dirección izquierdo Moog EV80050; Mango dirección izquierdo TRW TIS509,True,555 Japan; MOOG; TRW,EV80050; SC8095L; TIS509,Mango dirección izquierdo 555 Japan SC8095L; Mango dirección izquierdo Moog EV80050; Mango dirección izquierdo TRW TIS509,,
29Z15-25502,False,555 Japan; MOOG; TRW,EV80051; SC8095R; TIS508,Mango dirección derecho 555 Japan SC8095R; Mango dirección derecho Moog EV80051; Mango dirección derecho TRW TIS508,True,555 Japan; MOOG; TRW,EV80051; SC8095R; TIS508,Mango dirección derecho 555 Japan SC8095R; Mango dirección derecho Moog EV80051; Mango dirección derecho TRW TIS508,,
29Z15-25508,False,FAG; OPTIMAL; SKF,713621130; 981846; VKBA7497,Rodamiento de rueda FAG 713 6211 30; Rodamiento de rueda Optimal 981846; Rodamiento de rueda SKF VKBA 7497,True,FAG; OPTIMAL; SKF,713621130; 981846; VKBA7497,Rodamiento de rueda FAG 713 6211 30; Rodamiento de rueda Optimal 981846; Rodamiento de rueda SKF VKBA 7497,,
29Z15-25511,False,Bosch; Brembo; TRW,09.B063.10; 0986479R27; DF6481,Disco de freno Bosch 0 986 479 R27; Disco de freno Brembo 09.B063.10; Disco de freno TRW DF6481,True,Bosch; Brembo; TRW,09.B063.10; 0986479R27; DF6481,Disco de freno Bosch 0 986 479 R27; Disco de freno Brembo 09.B063.10; Disco de freno TRW DF6481,,
29Z15-25538,False,Sin proveedor,,Sin equivalente aftermarket y sin referencia Toyota,True,Sin proveedor,,Sin equivalente aftermarket y sin referencia Toyota,,
29Z15-25543,False,Lemförder; MOOG; TRW,28860 01; JAR1159; K200856,Barra estabilizadora Lemförder 28860 01; Barra estabilizadora Moog K200856; Barra estabilizadora TRW JAR1159,True,Lemförder; MOOG; TRW,28860 01; JAR1159; K200856,Barra estabilizadora Lemförder 28860 01; Barra estabilizadora Moog K200856; Barra estabilizadora TRW JAR1159,,
29Z15-25559,False,Febi; KYB; Sachs,33594; 817817; SM5581,Tope de suspensión Febi 33594; Tope de suspensión KYB SM5581; Tope de suspensión Sachs 817817,True,Febi; KYB; Sachs,33594; 817817; SM5581,Tope de suspensión Febi 33594; Tope de suspensión KYB SM5581; Tope de suspensión Sachs 817817,,
29Z15-25563,True,Toyota OEM,48661-26050,Requiere pieza OEM o sin equivalente aftermarket,False,,,,48661-26050,Requiere pieza OEM o sin equivalente aftermarket
29Z15-25619,False,Febest; KYB; Sachs,01110-016F; 315016; 344493,Amortiguador delantero Febest 01110-016F; Amortiguador delantero KYB 344493; Amortiguador delantero Sachs 315 016,True,Febest; KYB; Sachs,01110-016F; 315016; 344493,Amortiguador delantero Febest 01110-016F; Amortiguador delantero KYB 344493; Amortiguador delantero Sachs 315 016,,
30Z15-00011,False,Bendix; Jurid; TRW,750-650731; GDB1763; MKD533U,Pastillas de freno Bendix MKD533U; Pastillas de freno Jurid 750-650731; Pastillas de freno TRW GDB1763,True,Bendix; Jurid; TRW,750-650731; GDB1763; MKD533U,Pastillas de freno Bendix MKD533U; Pastillas de freno Jurid 750-650731; Pastillas de freno TRW GDB1763,,
30Z15-00015,False,Aisin; Cardone; TRW,18-9809; CBR-0713; CBR1423,Caliper Aisin CBR-0713 (remanufacturado); Caliper Cardone 18-9809 (nuevo); Caliper TRW CBR1423 (remanufacturado),True,Aisin; Cardone; TRW,18-9809; CBR-0713; CBR1423,Caliper Aisin CBR-0713 (remanufacturado); Caliper Cardone 18-9809 (nuevo); Caliper TRW CBR1423 (remanufacturado),,
