plaza_limpia,placa,fecha_dia,coverage_ratio_14d,coverage_ratio_30d,downtime_hours_30d,activity_drop_pct,protections_applied_last_12m,last_protection_at,expected_payment,gnv_credit_30d,bank_transfer,exposure_after_transfer,arrears_amount,risk_score,needs_protection,suggested_scenario,whatsapp_segment
EDOMEX - ECATEPEC,0116YXA,2025-07-17,0.250350450090909,0.5642497718436364,264.06,0.864,0,,11000.0,6206.74749028,3663.84,1129.4125097199994,4793.25250972,0.691,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,0603561C,2025-07-27,0.6213142250909092,1.313611806909091,134.29,0.731,0,,11000.0,14449.729876,0.0,0.0,0.0,0.446,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060374K,2025-07-27,0.4407163827272726,1.111698720909091,157.55,0.782,0,,11000.0,12228.68593,0.0,0.0,0.0,0.456,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060381K,2025-07-31,0.6092801258181818,1.1937184838181816,155.58,0.738,0,,11000.0,13130.903321999998,0.0,0.0,0.0,0.448,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060820K,2025-07-31,0.6046597551818181,1.447738761,103.89,0.74,0,,11000.0,15925.126371,0.0,0.0,0.0,0.448,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060845K,2025-07-31,0.3584724689999999,0.821395474090909,219.71,0.812,0,,11000.0,9035.350215,1739.45,225.19978499999957,1964.6497849999996,0.552,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060863K,2025-07-23,0.2906789705454545,0.8784660362727271,203.63,0.846,0,,11000.0,9663.126399,1011.59,325.2836009999993,1336.8736009999993,0.53,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060874K,2025-07-31,0.4386030549090909,1.2587777688181816,138.76999999999998,0.725,0,,11000.0,13846.555457,0.0,0.0,0.0,0.445,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,061238K,2025-04-09,0.55894069,1.1799148354545457,166.12,0.658,0,,11000.0,12979.06319,0.0,0.0,0.0,0.432,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,061288K,2025-07-31,0.6489829374545455,1.439782099909091,121.57,0.697,0,,11000.0,15837.603099,0.0,0.0,0.0,0.439,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,061706K,2025-02-12,0.022764409090909,0.022764409090909,11.73,0.977,0,,11000.0,250.4085,5616.43,5133.1615,10749.5915,0.733,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,061802K,2025-02-24,0.3649227581818182,0.3649227581818182,122.61,0.819,0,,11000.0,4014.15034,5980.3,1005.5496599999997,6985.84966,0.781,1,restructure-full,PIA_OPCIONES
EDOMEX - ECATEPEC,061803K,2025-02-03,0.0182115272727272,0.0182115272727272,11.78,0.982,0,,11000.0,200.3268,7412.02,3387.653199999999,10799.6732,0.736,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,061899K,2025-06-18,0.0776771466363636,0.0776771466363636,45.79,0.922,0,,11000.0,854.4486129999999,8052.09,2093.4613869999994,10145.551387,0.836,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,0NXA9936,2025-06-24,0.2177198841818181,0.4939354307272727,270.28,0.914,0,,11000.0,5433.2897379999995,3151.03,2415.6802620000003,5566.7102620000005,0.736,1,restructure-full,PIA_OPCIONES
EDOMEX - ECATEPEC,1050,2024-11-01,0.0902038345454545,0.0902038345454545,22.39,0.91,0,,11000.0,992.24218,4366.82,5640.937820000001,10007.75782,0.73,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,109327,2025-07-26,0.0805213725454545,0.0805213725454545,34.2,0.919,0,,11000.0,885.735098,6399.81,3714.4549020000004,10114.264902,0.786,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,109456,2024-08-31,0.0738887954545454,0.0738887954545454,11.11,0.926,0,,11000.0,812.77675,3446.24,6740.983249999999,10187.22325,0.695,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,11G896,2025-07-29,0.1913305005454545,0.4466939739090909,284.90999999999997,0.906,0,,11000.0,4913.633713,4848.27,1238.0962869999994,6086.366287,0.758,1,restructure-full,PIA_OPCIONES
EDOMEX - ECATEPEC,120053K,2025-01-17,0.6717845945454545,1.4921605227272725,102.59,0.688,0,,11000.0,16413.76575,0.0,0.0,0.0,0.438,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,120370K,2024-06-29,0.6456379872727273,1.3021552090909092,142.95000000000002,0.668,0,,11000.0,14323.7073,0.0,0.0,0.0,0.434,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,120466K,2025-01-24,0.5803096418181818,0.6785875227272727,127.14,0.675,0,,11000.0,7464.46275,1812.73,1722.8072500000003,3535.5372500000003,0.596,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,120768K,2025-05-16,0.0364115904545454,0.0364115904545454,11.56,0.964,0,,11000.0,400.527495,9353.17,1246.3025049999997,10599.472505,0.723,1,restructure-light,PIA_OPCIONES
