plaza_limpia,placa,fecha_dia,coverage_ratio_14d,coverage_ratio_30d,downtime_hours_30d,activity_drop_pct,protections_applied_last_12m,last_protection_at,expected_payment,gnv_credit_30d,bank_transfer,exposure_after_transfer,arrears_amount,risk_score,needs_protection,suggested_scenario,whatsapp_segment,plaza,first_record_date,last_record_date,records_total,litros_total,recaudo_total,avg_daily_litros,avg_daily_recaudo,litros_30d,recaudo_30d,records_30d,litros_90d,recaudo_90d,records_90d,litros_180d,recaudo_180d,records_180d,litros_365d,recaudo_365d,records_365d,avg_30d_litros,avg_30d_recaudo,max_30d_litros,max_30d_recaudo,scenario,intent,distance_km_30d,engine_hours_30d,fault_events_30d,gps_operational_ratio,hase_consumption_gap_flag,hase_fault_alert_flag,hase_downtime_alert_flag,hase_telemetry_ok_flag
EDOMEX - ECATEPEC,0116YXA,2025-07-17,0.250350450090909,0.5642497718436364,264.06,0.864,0,,11000.0,6206.74749028,3663.84,1129.4125097199994,4793.25250972,0.691,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-09-11,2025-07-17,199,2670.8167999999996,12383.76,8.671483116883115,40.20701298701299,68.81819999999999,145.56,5,314.2418,1053.48,24,1153.4198,4069.2,89,2670.8167999999996,12383.76,199,242.80152727272724,1125.7963636363636,383.522,2302.44,base,,1373.9560485559634,148.55654410218145,0,0.8726561082770454,0,0,0,0
EDOMEX - ECATEPEC,0603561C,2025-07-27,0.6213142250909092,1.313611806909091,134.29,0.731,0,,11000.0,14449.729876,0.0,0.0,0.0,0.446,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-08-29,2025-07-27,210,4800.1125999999995,0.0,14.45817048192771,0.0,186.2476,0.0,6,186.2476,0.0,6,1419.5376,0.0,56,4800.1125999999995,0.0,210,400.0093833333333,0.0,1089.82,0.0,base,,1038.8784397520524,258.77876830458484,0,0.9511540351266538,0,0,0,0
EDOMEX - ECATEPEC,060374K,2025-07-27,0.4407163827272726,1.111698720909091,157.55,0.782,0,,11000.0,12228.68593,0.0,0.0,0.0,0.456,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-08-30,2025-07-27,266,5305.311,0.0,16.0767,0.0,203.9724,0.0,12,220.35099999999997,0.0,13,2766.231,0.0,125,5305.311,0.0,266,442.10925,0.0,1001.022,0.0,base,,1458.5979199113824,148.88692200428883,0,0.8624414029852335,0,0,0,0
EDOMEX - ECATEPEC,060381K,2025-07-31,0.6092801258181818,1.1937184838181816,155.58,0.738,0,,11000.0,13130.903321999998,0.0,0.0,0.0,0.448,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-09-08,2025-07-31,308,10106.336,0.0,31.001030674846625,0.0,793.5976,0.0,26,2996.0884999999994,0.0,98,4846.160000000001,0.0,151,10106.336,0.0,308,918.7578181818184,0.0,1460.1552,0.0,base,,1297.3680290593638,155.90504971416962,0,0.9470336890385396,0,0,0,0
EDOMEX - ECATEPEC,060820K,2025-07-31,0.6046597551818181,1.447738761,103.89,0.74,0,,11000.0,15925.126371,0.0,0.0,0.0,0.448,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-05-23,2025-07-31,313,9846.338,0.0,22.687414746543777,0.0,934.8005,0.0,28,2692.304,0.0,81,5072.911,0.0,162,9843.949,0.0,312,656.4225333333333,0.0,1360.574,0.0,base,,694.1773478876495,239.27055147088836,2,0.9688061694806892,0,0,0,0
EDOMEX - ECATEPEC,060845K,2025-07-31,0.3584724689999999,0.821395474090909,219.71,0.812,0,,11000.0,9035.350215,1739.45,225.19978499999957,1964.6497849999996,0.552,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-08-29,2025-07-31,496,7119.8501,0.0,21.19003005952381,0.0,620.8981,0.0,53,1932.6997,0.0,159,3662.7251,0.0,296,7119.8501,0.0,496,593.3208416666665,0.0,738.508,0.0,base,,1575.6223516367559,209.6288260091532,1,0.8989154995115359,0,0,0,0
EDOMEX - ECATEPEC,060863K,2025-07-23,0.2906789705454545,0.8784660362727271,203.63,0.846,0,,11000.0,9663.126399,1011.59,325.2836009999993,1336.873600999999,0.53,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-09-10,2025-07-23,421,7185.0782,0.0,22.737589240506328,0.0,375.3026,0.0,33,1774.9142000000002,0.0,163,3527.2401999999993,0.0,256,7185.0782,0.0,421,653.1889272727274,0.0,1061.967,0.0,base,,1361.139701990353,232.93006454831988,0,0.9493189132038881,0,0,0,0
EDOMEX - ECATEPEC,060874K,2025-07-31,0.4386030549090909,1.2587777688181816,138.76999999999998,0.725,0,,11000.0,13846.555457,0.0,0.0,0.0,0.445,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-10-17,2025-07-31,162,4830.627699999999,0.0,16.83145540069686,0.0,352.64189999999996,0.0,16,370.8404000000001,0.0,17,2181.9856999999997,0.0,85,4830.627699999999,0.0,162,483.06277,0.0,883.375,0.0,base,,1386.0643052769537,215.7094409327186,1,0.871948361140699,0,0,0,0
EDOMEX - ECATEPEC,061238K,2025-04-09,0.55894069,1.1799148354545457,166.12,0.658,0,,11000.0,12979.06319,0.0,0.0,0.0,0.432,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-08-31,2025-04-09,185,4917.447,0.0,22.352031818181818,0.0,552.0690000000001,0.0,22,2208.557,0.0,92,4168.637000000001,0.0,161,4917.447,0.0,185,614.680875,0.0,821.47,0.0,base,,728.1136326755459,245.86100843947378,1,0.968432860203403,0,0,0,0
EDOMEX - ECATEPEC,061288K,2025-07-31,0.6489829374545455,1.439782099909091,121.57,0.697,0,,11000.0,15837.603099,0.0,0.0,0.0,0.439,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-10-09,2025-07-31,80,2940.2708999999995,0.0,10.000921428571427,0.0,421.0767,0.0,12,1060.3799,0.0,28,2021.8699,0.0,56,2940.2708999999995,0.0,80,294.02709000000004,0.0,498.209,0.0,base,,1050.3859378955672,216.61610333176887,0,0.9832844377974514,0,0,0,0
EDOMEX - ECATEPEC,061706K,2025-02-12,0.022764409090909,0.022764409090909,11.73,0.977,0,,11000.0,250.4085,5616.43,5133.1615,10749.5915,0.733,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2025-02-12,2025-02-12,1,20.85,0.0,20.85,0.0,20.85,0.0,1,20.85,0.0,1,20.85,0.0,1,20.85,0.0,1,20.85,0.0,20.85,0.0,base,,970.7980242325813,202.6550111483781,0,0.8713771170899688,0,0,0,0
EDOMEX - ECATEPEC,061802K,2025-02-24,0.3649227581818182,0.3649227581818182,122.61,0.819,0,,11000.0,4014.15034,5980.3,1005.5496599999996,6985.84966,0.781,1,restructure-full,PIA_OPCIONES,Estado de M̩xico,2024-09-19,2025-02-24,16,334.23400000000004,0.0,2.1154050632911394,0.0,32.989000000000004,0.0,2,32.989000000000004,0.0,2,334.23400000000004,0.0,16,334.23400000000004,0.0,16,55.70566666666667,0.0,276.225,0.0,base,,1526.764988848602,225.52996325135595,0,0.9468603263561265,0,0,0,0
EDOMEX - ECATEPEC,061803K,2025-02-03,0.0182115272727272,0.0182115272727272,11.78,0.982,0,,11000.0,200.3268,7412.02,3387.653199999999,10799.6732,0.736,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2025-02-03,2025-02-03,1,16.68,0.0,16.68,0.0,16.68,0.0,1,16.68,0.0,1,16.68,0.0,1,16.68,0.0,1,16.68,0.0,16.68,0.0,base,,1243.8651200806646,193.68713021505314,1,0.9208163535179136,0,0,0,0
EDOMEX - ECATEPEC,061899K,2025-06-18,0.0776771466363636,0.0776771466363636,45.79,0.922,0,,11000.0,854.4486129999999,8052.09,2093.4613869999994,10145.551387,0.836,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-12-24,2025-06-18,4,70.6013,0.0,0.4034359999999999,0.0,37.5313,0.0,2,37.5313,0.0,2,70.6013,0.0,4,70.6013,0.0,4,11.766883333333334,0.0,37.5313,0.0,base,,1422.76161327083,181.52765874856817,2,0.924409906456533,0,0,0,0
