placa,plan_type,protections_allowed,protections_used,status,valid_until,reset_cycle_days,requires_manual_review
LAB-000,proteccion_ilimitada,4,4,active,2026-03-10,180,no
LAB-001,proteccion_basica,2,0,active,2025-12-06,240,no
LAB-002,proteccion_basica,2,0,active,2026-03-16,240,no
LAB-003,proteccion_caduca,2,1,active,2026-04-09,365,no
LAB-004,proteccion_basica,2,0,active,2026-02-16,240,no
LAB-005,proteccion_total,3,3,active,2026-04-27,365,yes
LAB-006,proteccion_basica,2,0,active,2026-05-03,240,no
LAB-007,proteccion_caduca,2,0,active,2025-11-21,365,no
LAB-008,proteccion_total,3,3,active,2026-02-06,365,yes
LAB-009,proteccion_total,3,3,active,2026-04-14,365,no
LAB-010,proteccion_total,3,2,active,2026-03-03,365,no
LAB-011,proteccion_caduca,2,1,active,2026-02-22,365,no
LAB-012,proteccion_basica,2,2,active,2025-11-12,240,no
LAB-013,proteccion_basica,2,0,active,2026-02-06,240,no
LAB-014,proteccion_total,3,0,active,2026-02-14,365,no
LAB-015,proteccion_total,3,0,active,2025-12-15,365,no
LAB-016,proteccion_ilimitada,4,1,active,2025-12-24,180,no
LAB-017,proteccion_light,1,0,active,2025-12-31,180,no
LAB-018,proteccion_light,1,1,active,2025-12-11,180,no
LAB-019,proteccion_basica,2,2,active,2026-03-14,240,no
LAB-020,proteccion_caduca,2,2,expired,2026-04-21,365,yes
LAB-021,proteccion_total,3,0,active,2025-12-28,365,no
LAB-022,proteccion_basica,2,1,expired,2026-05-05,240,yes
LAB-023,proteccion_light,1,0,active,2025-11-19,180,no
LAB-024,proteccion_basica,2,2,active,2026-03-27,240,no
LAB-025,proteccion_light,1,1,active,2025-11-22,180,no
LAB-026,proteccion_total,3,1,active,2026-04-23,365,no
LAB-027,proteccion_total,3,0,active,2026-02-16,365,no
LAB-028,proteccion_total,3,0,active,2026-01-22,365,no
LAB-029,proteccion_light,1,1,active,2026-04-17,180,no
LAB-030,proteccion_caduca,2,1,active,2025-12-30,365,no
LAB-031,proteccion_total,3,3,active,2026-02-26,365,yes
LAB-032,proteccion_caduca,2,0,active,2025-12-26,365,no
LAB-033,proteccion_total,3,3,active,2026-01-22,365,no
LAB-034,proteccion_light,1,1,active,2026-01-19,180,no
LAB-035,proteccion_basica,2,1,active,2025-12-14,240,no
LAB-036,proteccion_caduca,2,0,active,2026-04-23,365,no
LAB-037,proteccion_caduca,2,0,expired,2025-12-01,365,yes
LAB-038,proteccion_basica,2,1,active,2026-03-12,240,no
LAB-039,proteccion_light,1,1,active,2025-12-18,180,yes
LAB-040,proteccion_caduca,2,1,active,2025-12-04,365,no
LAB-041,proteccion_light,1,1,active,2026-01-28,180,no
LAB-042,proteccion_total,3,1,active,2026-03-01,365,yes
LAB-043,proteccion_light,1,1,active,2026-01-17,180,no
LAB-044,proteccion_ilimitada,4,3,active,2026-03-27,180,no
LAB-045,proteccion_total,3,1,active,2025-12-02,365,no
LAB-046,proteccion_caduca,2,2,active,2026-02-12,365,no
LAB-047,proteccion_basica,2,2,active,2026-01-05,240,no
LAB-048,proteccion_ilimitada,4,2,active,2026-03-27,180,no
LAB-049,proteccion_caduca,2,1,active,2025-12-14,365,no
LAB-050,proteccion_basica,2,1,active,2026-01-17,240,no
LAB-051,proteccion_total,3,0,active,2026-03-14,365,no
LAB-052,proteccion_ilimitada,4,2,active,2026-05-01,180,no
LAB-053,proteccion_ilimitada,4,3,active,2025-11-22,180,no
LAB-054,proteccion_caduca,2,2,active,2026-01-04,365,no
LAB-055,proteccion_total,3,1,active,2026-01-25,365,no
LAB-056,proteccion_basica,2,0,active,2026-04-19,240,no
LAB-057,proteccion_light,1,0,active,2026-02-28,180,no
LAB-058,proteccion_basica,2,0,active,2026-04-15,240,no
LAB-059,proteccion_basica,2,2,active,2026-02-12,240,no
LAB-060,proteccion_total,3,3,active,2026-03-04,365,no
LAB-061,proteccion_light,1,0,active,2026-04-03,180,no
LAB-062,proteccion_caduca,2,0,active,2026-02-01,365,no
LAB-063,proteccion_total,3,1,active,2026-01-20,365,no
LAB-064,proteccion_ilimitada,4,0,active,2026-04-06,180,no
LAB-065,proteccion_basica,2,1,active,2025-12-15,240,no
LAB-066,proteccion_total,3,3,active,2026-04-27,365,no
LAB-067,proteccion_light,1,0,active,2025-12-29,180,no
LAB-068,proteccion_total,3,2,active,2025-11-26,365,no
LAB-069,proteccion_basica,2,0,active,2026-02-10,240,no
