placa,market,plan_type,balance,payment,term_months,protections_allowed,protections_used,protections_remaining,contract_status,contract_valid_until,contract_reset_cycle_days,requires_manual_review,expected_payment,bank_transfer,cash_collection,observed_payment,arrears_amount,coverage_ratio_30d,coverage_ratio_14d,coverage_ratio_7d,gnv_credit_30d,gnv_credit_14d,gnv_credit_7d,litros_30d,avg_30d_litros,downtime_hours_30d,downtime_hours_14d,downtime_hours_7d,distance_km_30d,engine_hours_30d,fault_events_30d,hase_consumption_gap_flag,hase_fault_alert_flag,hase_telemetry_ok_flag,has_recent_promise_break,last_protection_at,scenario,risk_story
LAB-000,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,4,0,active,2026-03-10,180,False,20500,13464.13,8242.16,21706.29,0.0,0.867,0.901,0.868,15444.62,18465.19,17797.86,652.22,21.74,129.58,73.04,43.0,1861.4,59.2,0,0,0,1,0,2025-08-10,baseline,baseline
LAB-001,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,0,2,active,2025-12-06,240,False,16800,8261.24,8033.87,16295.11,504.89,0.407,0.338,0.257,6533.1,5670.27,4317.7,200.0,6.67,280.0,160.0,96.0,530.1,18.6,2,0,0,0,0,2025-08-18,baseline,baseline
LAB-002,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-03-16,240,False,16800,8863.9,4105.14,12969.04,3830.96,1.6,1.5,1.4,26183.15,25200.0,23520.0,3800.0,126.67,5.82,3.47,0.46,10762.0,378.9,0,1,0,1,0,2025-06-04,consumption_gap,consumption_gap
LAB-003,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2026-04-09,365,False,17200,7836.0,7704.62,15540.62,1659.38,0.433,0.384,0.113,7820.32,6613.12,1936.83,212.62,7.09,280.0,111.99,64.38,683.1,23.5,5,0,1,1,0,2025-08-02,fault_alert,fault_alert
LAB-004,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-02-16,240,False,16800,10964.22,6074.2,17038.42,0.0,0.1,0.057,0.057,1630.37,960.89,960.89,200.0,6.67,34.41,34.41,34.41,560.6,17.6,0,0,0,1,0,2025-06-02,baseline,baseline
LAB-005,AGUASCALIENTES,proteccion_total,520000,19000,48,3,3,-1,active,2026-04-27,365,True,19000,5333.31,4447.58,9780.89,9219.11,0.821,0.346,0.183,16044.16,6581.51,3468.0,752.14,25.07,222.07,104.12,53.0,2408.9,75.8,1,0,0,1,0,2025-07-30,delinquency,proteccion_negativa
LAB-006,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-05-03,240,False,16800,10126.86,7051.63,17178.49,-1404.75,0.131,0.093,0.07,2334.31,1558.75,1184.31,200.0,6.67,33.06,18.99,9.45,625.3,24.6,0,0,0,1,0,2025-08-31,baseline,baseline
LAB-007,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,0,2,active,2025-11-21,365,False,17200,5209.74,9314.47,14524.21,2675.79,1.452,0.686,0.357,26566.45,11794.05,6136.02,1140.14,38.0,154.69,51.69,25.1,3108.6,102.8,0,0,0,1,1,2025-07-03,delinquency,promesa_incumplida
LAB-008,AGUASCALIENTES,proteccion_total,520000,19000,48,3,3,-1,active,2026-02-06,365,True,19000,5414.31,8588.54,14002.85,4997.15,0.171,0.135,0.12,2982.13,2565.08,2284.74,200.0,6.67,5.3,5.26,7.45,559.6,22.0,0,0,0,1,1,2025-07-27,delinquency,proteccion_negativa
LAB-009,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-04-14,365,False,19000,9699.84,5975.34,15675.18,3324.82,0.952,0.992,1.025,16486.77,18851.69,19475.31,470.96,15.7,121.63,109.96,41.87,1263.5,47.4,5,0,1,1,0,2025-07-12,fault_alert,fault_alert
LAB-010,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-03-03,365,False,19000,9106.56,7433.04,16539.6,2460.4,0.306,0.249,0.098,4947.27,4730.17,1862.98,211.87,7.06,199.73,110.18,84.57,601.1,21.4,2,1,0,1,0,2025-07-13,consumption_gap,consumption_gap
LAB-011,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,1,1,active,2026-02-22,365,False,17200,9956.27,7884.96,17841.23,0.0,0.1,0.05,0.035,1701.52,860.0,604.72,200.0,6.67,8.99,3.07,5.88,530.4,19.9,0,0,0,1,0,2025-07-02,baseline,baseline
LAB-012,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,2,0,active,2025-11-12,240,False,16800,9774.89,6959.91,16734.8,65.2,1.045,1.086,1.062,17502.57,18242.59,17840.53,404.86,13.5,164.83,77.63,39.4,1114.7,43.4,0,0,0,1,0,2025-07-30,baseline,baseline
LAB-013,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-02-06,240,False,16800,11747.68,4926.87,16674.55,125.45,0.953,0.947,0.902,15236.85,15908.02,15157.99,349.26,11.64,46.19,46.19,46.19,926.3,29.9,0,0,0,1,0,2025-07-31,baseline,baseline
LAB-014,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-02-14,365,False,19000,10291.99,7539.5,17831.49,1168.51,0.68,0.619,0.124,11635.6,11756.93,2363.36,244.47,8.15,280.0,97.75,58.0,767.5,25.0,1,1,0,1,0,2025-07-01,consumption_gap,consumption_gap
