placa,alert_type,severity,details,triggered_at,code,diagnostic_id
A01202A,downtime,high,166.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2019-01-28T00:00:00,,
A00367A,safety,high,Seatbelt 0.35 | Alta velocidad 0.43,2019-03-08T00:00:00,,
A00191A,downtime,high,137.3 h sin movimiento en 30d | Cobertura 14d: 0.17,2019-05-22T00:00:00,,
A00191A,telemetry,high,Salud de telemetría 0.37,2019-05-22T00:00:00,,
A00234A,downtime,high,139.1 h sin movimiento en 30d | Cobertura 14d: 0.19,2019-09-23T00:00:00,,
A00053A,downtime,high,160.4 h sin movimiento en 30d | Cobertura 14d: 0.26,2019-10-05T00:00:00,,
A00053A,telemetry,high,Salud de telemetría 0.38,2019-10-05T00:00:00,,
A00897A,safety,high,Seatbelt 0.41 | Alta velocidad 0.41,2020-04-02T00:00:00,,
A01901A,downtime,high,185.8 h sin movimiento en 30d | Cobertura 14d: 0.10,2020-04-13T00:00:00,,
A00334A,telemetry,high,Salud de telemetría 0.40,2020-06-08T00:00:00,,
A00943A,downtime,high,203.4 h sin movimiento en 30d | Cobertura 14d: 0.22,2020-10-31T00:00:00,,
A01216A,safety,high,Seatbelt 0.41 | Alta velocidad 0.50,2021-03-07T00:00:00,,
A00217A,downtime,high,216.9 h sin movimiento en 30d | Cobertura 14d: 0.18,2021-09-13T00:00:00,,
A00217A,telemetry,high,Salud de telemetría 0.31,2021-09-13T00:00:00,,
A00368A,downtime,high,126.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2022-02-02T00:00:00,,
A01747A,downtime,high,200.0 h sin movimiento en 30d | Cobertura 14d: 0.18,2022-02-18T00:00:00,,
A00329A,downtime,high,135.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2022-03-01T00:00:00,,
A00214A,safety,high,Seatbelt 0.37 | Alta velocidad 0.52,2022-04-15T00:00:00,,
A00001A,downtime,high,172.7 h sin movimiento en 30d | Cobertura 14d: 0.03,2022-07-07T00:00:00,,
A00001A,safety,high,Seatbelt 0.49 | Alta velocidad 0.38,2022-07-07T00:00:00,,
A00252A,safety,high,Seatbelt 0.36 | Alta velocidad 0.40,2022-11-01T00:00:00,,
A00983A,telemetry,high,Salud de telemetría 0.36,2023-01-10T00:00:00,,
A00276A,downtime,high,209.5 h sin movimiento en 30d | Cobertura 14d: 0.06,2023-01-13T00:00:00,,
A01155A,safety,high,Seatbelt 0.35 | Alta velocidad 0.41,2023-02-03T00:00:00,,
A01332A,safety,high,Seatbelt 0.50 | Alta velocidad 0.40,2023-03-22T00:00:00,,
A00895A,safety,high,Seatbelt 0.38 | Alta velocidad 0.49,2023-04-05T00:00:00,,
A01973A,safety,high,Seatbelt 0.38 | Alta velocidad 0.39,2023-04-06T00:00:00,,
A00241A,downtime,high,151.2 h sin movimiento en 30d | Cobertura 14d: 0.12,2023-05-16T00:00:00,,
A01937A,downtime,high,179.1 h sin movimiento en 30d | Cobertura 14d: 0.10,2023-08-02T00:00:00,,
A01937A,telemetry,high,Salud de telemetría 0.35,2023-08-02T00:00:00,,
A02233A,safety,high,Seatbelt 0.36 | Alta velocidad 0.41,2023-08-15T00:00:00,,
A03864A,downtime,high,149.4 h sin movimiento en 30d | Cobertura 14d: 0.08,2023-08-16T00:00:00,,
A0278C,downtime,high,168.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-09-13T00:00:00,,
E44BFC,downtime,high,132.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-10-04T00:00:00,,
E44BFC,telemetry,high,Salud de telemetría 0.38,2023-10-04T00:00:00,,
PCG7490,downtime,high,192.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-10-18T00:00:00,,
PCG7490,telemetry,high,Salud de telemetría 0.38,2023-10-18T00:00:00,,
K0088915,downtime,high,130.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-10-24T00:00:00,,
K0088915,telemetry,high,Salud de telemetría 0.33,2023-10-24T00:00:00,,
NZG6214,downtime,high,142.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-11-02T00:00:00,,
NZG6214,safety,high,Seatbelt 0.38 | Alta velocidad 0.48,2023-11-02T00:00:00,,
PEP9965,downtime,high,156.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-11-02T00:00:00,,
PEP9965,telemetry,high,Salud de telemetría 0.40,2023-11-02T00:00:00,,
1711MDF017,safety,high,Seatbelt 0.38 | Alta velocidad 0.43,2023-11-21T00:00:00,,
A00275A,telemetry,high,Salud de telemetría 0.36,2023-11-21T00:00:00,,
RAN627C,downtime,high,158.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-12-01T00:00:00,,
PBV4760,downtime,high,182.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-12-04T00:00:00,,
PBV4760,telemetry,high,Salud de telemetría 0.27,2023-12-04T00:00:00,,
ECO15,safety,high,Seatbelt 0.49 | Alta velocidad 0.39,2023-12-15T00:00:00,,
ECO026R,downtime,high,133.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-12-30T00:00:00,,
ECO026R,telemetry,high,Salud de telemetría 0.31,2023-12-30T00:00:00,,
2617JGE,safety,high,Seatbelt 0.36 | Alta velocidad 0.43,2024-01-06T00:00:00,,
A4385LA,downtime,high,167.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-01-11T00:00:00,,
B36AYC,safety,high,Seatbelt 0.47 | Alta velocidad 0.45,2024-01-12T00:00:00,,
P08BJW,safety,high,Seatbelt 0.47 | Alta velocidad 0.51,2024-02-02T00:00:00,,
NZW4553,downtime,high,195.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-11T00:00:00,,
NZW4553,telemetry,high,Salud de telemetría 0.34,2024-02-11T00:00:00,,
A2901C,downtime,high,165.6 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-12T00:00:00,,
A4614H,downtime,high,130.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-13T00:00:00,,
NJT3798,downtime,high,151.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-19T00:00:00,,
NJT3798,safety,high,Seatbelt 0.49 | Alta velocidad 0.45,2024-02-19T00:00:00,,
NJT3798,telemetry,high,Salud de telemetría 0.35,2024-02-19T00:00:00,,
LUY792A,downtime,high,200.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-03-02T00:00:00,,
LUY792A,telemetry,high,Salud de telemetría 0.37,2024-03-02T00:00:00,,
A02350A,downtime,high,125.6 h sin movimiento en 30d | Cobertura 14d: 0.23,2024-03-05T00:00:00,,
A02350A,telemetry,high,Salud de telemetría 0.32,2024-03-05T00:00:00,,
NSV2306,downtime,high,214.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-03-13T00:00:00,,
69AY8K,safety,high,Seatbelt 0.45 | Alta velocidad 0.49,2024-03-25T00:00:00,,
A4649L,safety,high,Seatbelt 0.45 | Alta velocidad 0.51,2024-04-01T00:00:00,,
UPZ963G,safety,high,Seatbelt 0.37 | Alta velocidad 0.48,2024-04-04T00:00:00,,
PBG6023,downtime,high,197.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-11T00:00:00,,
PBG6023,telemetry,high,Salud de telemetría 0.31,2024-04-11T00:00:00,,
A00172A,downtime,high,208.0 h sin movimiento en 30d | Cobertura 14d: 0.13,2024-04-17T00:00:00,,
A00172A,telemetry,high,Salud de telemetría 0.35,2024-04-17T00:00:00,,
1706MDF121,downtime,high,217.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-19T00:00:00,,
1706MDF121,telemetry,high,Salud de telemetría 0.37,2024-04-19T00:00:00,,
A3315J,downtime,high,171.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-21T00:00:00,,
A559JMC,downtime,high,165.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-25T00:00:00,,
A5425L,downtime,high,191.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-05-25T00:00:00,,
A5425L,telemetry,high,Salud de telemetría 0.39,2024-05-25T00:00:00,,
A6058C,safety,high,Seatbelt 0.35 | Alta velocidad 0.39,2024-05-28T00:00:00,,
A4821E,downtime,high,210.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-05-30T00:00:00,,
A4821E,telemetry,high,Salud de telemetría 0.34,2024-05-30T00:00:00,,
A4193A,safety,high,Seatbelt 0.47 | Alta velocidad 0.42,2024-06-05T00:00:00,,
1712MDF018,downtime,high,214.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-06-08T00:00:00,,
1712MDF018,telemetry,high,Salud de telemetría 0.39,2024-06-08T00:00:00,,
M05ADW,safety,high,Seatbelt 0.45 | Alta velocidad 0.51,2024-06-17T00:00:00,,
A9675D,safety,high,Seatbelt 0.44 | Alta velocidad 0.39,2024-06-19T00:00:00,,
Z50BGG,safety,high,Seatbelt 0.47 | Alta velocidad 0.47,2024-06-23T00:00:00,,
A00296A,safety,high,Seatbelt 0.37 | Alta velocidad 0.45,2024-07-09T00:00:00,,
A7563G,safety,high,Seatbelt 0.37 | Alta velocidad 0.44,2024-07-11T00:00:00,,
ECO508,downtime,high,211.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-07-16T00:00:00,,
ECO508,safety,high,Seatbelt 0.40 | Alta velocidad 0.41,2024-07-16T00:00:00,,
NKH9513,downtime,high,193.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-07-16T00:00:00,,
NKH9513,telemetry,high,Salud de telemetría 0.32,2024-07-16T00:00:00,,
F15BEA,downtime,high,159.4 h sin movimiento en 30d | Cobertura 14d: 0.05,2024-07-20T00:00:00,,
467TL118,downtime,high,146.6 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-07-24T00:00:00,,
ECO035,downtime,high,181.7 h sin movimiento en 30d | Cobertura 14d: 0.17,2024-07-24T00:00:00,,
A59BEB,downtime,high,132.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-07-25T00:00:00,,
NKT1129,safety,high,Seatbelt 0.44 | Alta velocidad 0.53,2024-07-30T00:00:00,,
A7049M,downtime,high,190.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-08-04T00:00:00,,
A1297B,safety,high,Seatbelt 0.38 | Alta velocidad 0.43,2024-08-10T00:00:00,,
NJK7453,safety,high,Seatbelt 0.45 | Alta velocidad 0.42,2024-08-17T00:00:00,,
A0858A,safety,high,Seatbelt 0.36 | Alta velocidad 0.45,2024-08-22T00:00:00,,
A00158A,safety,high,Seatbelt 0.46 | Alta velocidad 0.45,2024-08-27T00:00:00,,
K52BEM,downtime,high,162.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-09-01T00:00:00,,
K52BEM,telemetry,high,Salud de telemetría 0.38,2024-09-01T00:00:00,,
A9502L,safety,high,Seatbelt 0.38 | Alta velocidad 0.47,2024-09-03T00:00:00,,
305,safety,high,Seatbelt 0.46 | Alta velocidad 0.52,2024-09-04T00:00:00,,
A064,safety,high,Seatbelt 0.49 | Alta velocidad 0.47,2024-09-04T00:00:00,,
370,downtime,high,181.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-09-11T00:00:00,,
370,telemetry,high,Salud de telemetría 0.39,2024-09-11T00:00:00,,
CR5986,downtime,high,210.9 h sin movimiento en 30d | Cobertura 14d: 0.03,2024-09-13T00:00:00,,
