placa,label_date,default_flag,reason
0116YXA,2025-07-17,1,low_coverage_active
0603561C,2025-07-27,0,stable
060374K,2025-07-27,0,stable
060381K,2025-07-31,0,stable
060820K,2025-07-31,1,stable|noise
060845K,2025-07-31,0,stable
060863K,2025-07-23,0,stable
060874K,2025-07-31,0,stable
061238K,2025-04-09,0,stable
061288K,2025-07-31,0,stable
061706K,2025-02-12,1,low_coverage_active
061802K,2025-02-24,1,low_coverage_active
061803K,2025-02-03,1,low_coverage_active
061899K,2025-06-18,1,low_coverage_active
0NXA9936,2025-06-24,1,low_coverage_active
1050,2024-11-01,1,low_coverage_active
109327,2025-07-26,1,low_coverage_active
109456,2024-08-31,1,low_coverage_active|noise
11G896,2025-07-29,1,low_coverage_active
120053K,2025-01-17,0,stable
120370K,2024-06-29,0,stable
120466K,2025-01-24,1,low_coverage_active
120768K,2025-05-16,1,low_coverage_active
121368K,2024-11-07,1,low_coverage_active
121440K,2024-12-20,0,stable
122409K,2024-04-12,0,stable
122432K,2023-12-13,0,stable
1247JGE,2024-10-31,1,low_coverage_active|noise
1260079,2025-03-06,1,low_coverage_active
1387JGE,2025-07-05,1,low_coverage_active
1416JFHA,2024-02-15,1,low_coverage_active
1507EDM016,2025-07-08,0,stable
1507MDF049,2024-03-17,1,low_coverage_active
1511MDF034,2024-01-28,1,low_coverage_active
1512EDM010,2025-05-21,1,low_coverage_active
1602MDF050,2024-02-06,1,low_coverage_active
1603MDF019,2025-02-11,1,low_coverage_active
1610MDF004,2024-09-18,1,low_coverage_active
1610MDF123,2024-05-13,1,low_coverage_active
1611MDF003,2025-07-31,1,low_coverage_active
1612MDF009,2024-02-27,1,low_coverage_active
1701MDF078,2025-01-15,1,low_coverage_active
1701MDF118,2024-12-27,1,low_coverage_active
1703MDF193,2023-09-25,1,low_coverage_active
1704EDM001,2025-07-30,1,low_coverage_active
1704MDF094,2024-11-10,1,low_coverage_active
1705MDF058,2024-09-03,1,low_coverage_active
1706MDF121,2024-04-19,1,low_coverage_active
1708MDF054,2025-07-10,1,low_coverage_active
