placa,voice_score,historical_score,geographic_score,default_flag
0116YXA,749.649549909091,435.75022815636356,1000.0,0
0603561C,378.6857749090908,0.0,1000.0,0
060374K,559.2836172727274,0.0,1000.0,0
060381K,390.71987418181817,0.0,1000.0,0
060820K,395.3402448181819,0.0,1000.0,1
060845K,641.5275310000002,178.60452590909105,1000.0,0
060863K,709.3210294545455,121.53396372727288,1000.0,0
060874K,561.3969450909091,0.0,1000.0,0
061238K,441.05931,0.0,1000.0,0
061288K,351.0170625454545,0.0,1000.0,0
061706K,977.235590909091,977.235590909091,1000.0,1
061802K,635.0772418181818,635.0772418181818,1000.0,1
061803K,981.7884727272727,981.7884727272727,1000.0,1
061899K,922.3228533636363,922.3228533636363,1000.0,1
0NXA9936,782.2801158181819,506.0645692727272,1000.0,1
1050,909.7961654545454,909.7961654545454,1000.0,1
109327,919.4786274545454,919.4786274545454,1000.0,1
109456,926.1112045454546,926.1112045454546,1000.0,1
11G896,808.6694994545454,553.3060260909091,1000.0,1
120053K,328.21540545454553,0.0,1000.0,0
120370K,354.36201272727277,0.0,1000.0,0
120466K,419.6903581818182,321.41247727272724,1000.0,0
120768K,963.5884095454545,963.5884095454545,1000.0,1
121368K,920.93472,920.93472,1000.0,1
121440K,140.87364181818185,0.0,1000.0,0
122409K,196.30975090909087,0.0,1000.0,0
122432K,466.5041754545455,0.0,1000.0,0
1247JGE,960.69127,960.69127,1000.0,1
1260079,316.5381954545454,316.5381954545454,1000.0,0
1387JGE,955.5436748181819,955.5436748181819,1000.0,1
1416JFHA,978.0394190909091,978.0394190909091,1000.0,1
1507EDM016,230.53781281818186,0.0,1000.0,0
1507MDF049,967.0063463636363,967.0063463636363,1000.0,1
1511MDF034,983.664170909091,983.664170909091,1000.0,1
1512EDM010,950.8681818181819,950.8681818181819,1000.0,1
1602MDF050,954.141020909091,954.141020909091,1000.0,1
1603MDF019,927.2712236363637,927.2712236363637,1000.0,1
1610MDF004,977.3960881818182,977.3960881818182,1000.0,1
1610MDF123,915.7395990909091,915.7395990909091,1000.0,1
1611MDF003,801.786246909091,525.0570860000001,1000.0,1
