plaza_limpia,placa,fecha_dia,litros_diarios,tickets_diarios,recaudo_diario,precio_promedio,credito_diario,litros_7d,tickets_7d,recaudo_7d,credito_7d,litros_14d,tickets_14d,recaudo_14d,credito_14d,litros_30d,tickets_30d,recaudo_30d,credito_30d,coverage_ratio_7d,coverage_ratio_14d,coverage_ratio_30d,recencia_dias,downtime_hours,activity_drop_pct,average_speed_kph,trip_count,stop_hours,seatbelt_off_events,speed_range1_hours,speed_range2_hours,speed_range3_hours,speed_range1_km,speed_range2_km,speed_range3_km,max_speed_kph,driving_hours,engine_hours,idling_hours,after_hours_distance_km,after_hours_driving_hours,after_hours_stop_hours,work_distance_km,work_driving_hours,work_stop_hours,distance_km,downtime_hours_7d,downtime_days_7d,downtime_hours_14d,downtime_days_14d,downtime_hours_30d,downtime_days_30d,protections_applied_last_12m,trip_count_7d,seatbelt_off_events_7d,stop_hours_7d,speed_range1_hours_7d,speed_range2_hours_7d,speed_range3_hours_7d,speed_range1_km_7d,speed_range2_km_7d,speed_range3_km_7d,driving_hours_7d,engine_hours_7d,idling_hours_7d,after_hours_distance_km_7d,after_hours_driving_hours_7d,after_hours_stop_hours_7d,work_distance_km_7d,work_driving_hours_7d,work_stop_hours_7d,distance_km_7d,average_speed_kph_7d,max_speed_kph_7d_max,trip_count_14d,seatbelt_off_events_14d,stop_hours_14d,speed_range1_hours_14d,speed_range2_hours_14d,speed_range3_hours_14d,speed_range1_km_14d,speed_range2_km_14d,speed_range3_km_14d,driving_hours_14d,engine_hours_14d,idling_hours_14d,after_hours_distance_km_14d,after_hours_driving_hours_14d,after_hours_stop_hours_14d,work_distance_km_14d,work_driving_hours_14d,work_stop_hours_14d,distance_km_14d,average_speed_kph_14d,max_speed_kph_14d_max,trip_count_30d,seatbelt_off_events_30d,stop_hours_30d,speed_range1_hours_30d,speed_range2_hours_30d,speed_range3_hours_30d,speed_range1_km_30d,speed_range2_km_30d,speed_range3_km_30d,driving_hours_30d,engine_hours_30d,idling_hours_30d,after_hours_distance_km_30d,after_hours_driving_hours_30d,after_hours_stop_hours_30d,work_distance_km_30d,work_driving_hours_30d,work_stop_hours_30d,distance_km_30d,average_speed_kph_30d,max_speed_kph_30d_max,seatbelt_off_rate_30d,high_speed_hours_30d,high_speed_ratio_30d,idle_hours_ratio_30d,days_since_last_protection,label_date,default_flag,label_reason
EDOMEX - ECATEPEC,0116YXA,2025-07-17,14.7098,1,0.0,8.9958,220.70878116,99.5671,7.0,0.0,1493.9246818200002,187.2334,15.0,0.0,2753.854951,417.3618,31.0,0.0,6206.74749028,0.0829958156566666,0.1529919417222222,0.3448193050155556,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-17,1,low_coverage_active
EDOMEX - ECATEPEC,0603561C,2025-07-27,21.0692,1,0.0,9.99,295.179492,213.5376,7.0,0.0,2964.371776,511.0076,17.0,0.0,6834.456476,1096.3476,42.0,0.0,14449.729876,0.1646873208888888,0.3796920264444444,0.8027627708888888,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-27,0,stable
EDOMEX - ECATEPEC,060374K,2025-07-27,25.025,1,0.0,9.99,350.60024999999996,172.125,10.0,0.0,2396.45795,360.551,22.0,0.0,4847.880209999999,889.323,49.0,0.0,12228.68593,0.1331365527777777,0.2693266783333333,0.6793714405555555,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-27,0,stable
EDOMEX - ECATEPEC,060381K,2025-07-31,28.8599,1,0.0,9.99,404.327199,205.6496,7.0,0.0,2881.150896,478.3784,15.0,0.0,6702.081384,937.2522,31.0,0.0,13130.903321999998,0.1600639386666666,0.3723378546666667,0.729494629,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-31,0,stable
EDOMEX - ECATEPEC,060820K,2025-07-31,25.025,1,0.0,9.99,350.60024999999996,204.4737,7.0,0.0,2864.676537,474.75070000000005,15.0,0.0,6651.257307,1136.6971,34.0,0.0,15925.126371,0.1591486965,0.3695142948333333,0.8847292428333333,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-31,1,stable|noise
EDOMEX - ECATEPEC,060845K,2025-07-31,13.0133,1,0.0,9.99,182.316333,147.3242,13.0,0.0,2064.012042,281.4559,25.0,0.0,3943.197159,644.9215,55.0,0.0,9035.350215,0.1146673356666666,0.2190665088333333,0.5019639008333332,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-31,0,stable
EDOMEX - ECATEPEC,060863K,2025-07-23,23.0233,2,0.0,9.99,322.55643299999997,121.1209,11.0,0.0,1696.903809,228.2276,21.0,0.0,3197.4686759999995,696.9606,64.0,0.0,9663.126399,0.0942724338333333,0.1776371486666666,0.5368403555,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-23,0,stable
EDOMEX - ECATEPEC,060874K,2025-07-31,22.7481,1,0.0,10.99,295.952781,232.8221,9.0,0.0,3029.0155210000003,370.8404,17.0,0.0,4824.633604000001,1024.6357,42.0,0.0,13846.555457,0.1682786400555555,0.2680352002222222,0.7692530809444443,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-31,0,stable
EDOMEX - ECATEPEC,061238K,2025-04-09,21.749,1,0.0,11.99,261.20549,271.779,10.0,0.0,3764.12579,441.959,17.0,0.0,6148.34759,929.519,40.0,0.0,12979.06319,0.2091180994444444,0.3415748661111111,0.721059066111111,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-04-09,0,stable
EDOMEX - ECATEPEC,061288K,2025-07-31,30.03,1,0.0,9.99,420.7203,237.6479,7.0,0.0,3329.447079,509.5512,14.0,0.0,7138.812312,1130.4498999999998,30.0,0.0,15837.603099,0.1849692821666666,0.396600684,0.8798668388333333,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-31,0,stable
