placa,outcomes_total,last_outcome_at,days_since_last_outcome,last_plan_type,last_protections_used,last_protections_allowed,last_plan_status,last_plan_valid_until,last_plan_reset_cycle_days,last_plan_requires_manual_review,protections_remaining,check_in_synthetic_protection_all,escalate_fault_check_synthetic_protection_all,investigate_consumption_synthetic_protection_all,offer_protection_synthetic_protection_all,payment_reminder_synthetic_protection_all,prepare_advance_payment_synthetic_protection_all,record_payment_promise_synthetic_protection_all,check_in_synthetic_protection_30d,escalate_fault_check_synthetic_protection_30d,investigate_consumption_synthetic_protection_30d,offer_protection_synthetic_protection_30d,payment_reminder_synthetic_protection_30d,prepare_advance_payment_synthetic_protection_30d,record_payment_promise_synthetic_protection_30d,check_in_synthetic_protection_90d,escalate_fault_check_synthetic_protection_90d,investigate_consumption_synthetic_protection_90d,offer_protection_synthetic_protection_90d,payment_reminder_synthetic_protection_90d,prepare_advance_payment_synthetic_protection_90d,record_payment_promise_synthetic_protection_90d,check_in_synthetic_protection_180d,escalate_fault_check_synthetic_protection_180d,investigate_consumption_synthetic_protection_180d,offer_protection_synthetic_protection_180d,payment_reminder_synthetic_protection_180d,prepare_advance_payment_synthetic_protection_180d,record_payment_promise_synthetic_protection_180d,last_behaviour_tags,last_behaviour_notes,protections_flag_negative,protections_flag_expired,protections_flag_manual
LAB-000,2,2025-12-21T23:48:22Z,0,proteccion_caduca,0,2,active,2026-01-29,365,False,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,,,False,False,False
LAB-002,2,2025-12-21T23:48:22Z,0,proteccion_total,1,3,active,2026-03-04,365,False,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-004,2,2025-12-21T23:48:22Z,0,proteccion_total,0,3,active,2026-03-08,365,False,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-005,2,2025-12-21T23:48:22Z,0,proteccion_basica,1,2,active,2026-04-14,240,False,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,,,False,False,False
LAB-006,2,2025-12-21T23:48:22Z,0,proteccion_total,0,3,active,2026-04-09,365,False,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-008,2,2025-12-21T23:48:22Z,0,proteccion_basica,0,2,active,2025-12-18,240,False,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,False,False,False
LAB-010,2,2025-12-21T23:48:22Z,0,proteccion_caduca,0,2,active,2026-06-04,365,False,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-011,2,2025-12-21T23:48:22Z,0,proteccion_ilimitada,3,4,active,2026-03-21,180,False,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,,,False,False,False
LAB-013,2,2025-12-21T23:48:22Z,0,proteccion_caduca,0,2,active,2026-01-22,365,False,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-015,2,2025-12-21T23:48:22Z,0,proteccion_light,0,1,active,2026-05-06,180,False,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,,,False,False,False
LAB-016,2,2025-12-21T23:48:22Z,0,proteccion_ilimitada,1,4,active,2026-01-27,180,False,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,,,False,False,False
LAB-017,2,2025-12-21T23:48:22Z,0,proteccion_basica,0,2,active,2026-05-01,240,False,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-020,2,2025-12-21T23:48:22Z,0,proteccion_light,0,1,active,2026-05-27,180,False,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-023,2,2025-12-21T23:48:22Z,0,proteccion_total,2,3,active,2026-03-17,365,False,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-024,2,2025-12-21T23:48:23Z,0,proteccion_caduca,1,2,active,2026-06-01,365,False,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-026,2,2025-12-21T23:48:23Z,0,proteccion_total,2,3,active,2026-03-29,365,False,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-027,2,2025-12-21T23:48:23Z,0,proteccion_caduca,0,2,active,2026-05-12,365,False,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,,False,False,False
LAB-032,2,2025-12-21T23:48:23Z,0,proteccion_ilimitada,1,4,active,2026-05-14,180,False,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-033,2,2025-12-21T23:48:23Z,0,proteccion_caduca,1,2,active,2026-02-02,365,False,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,,,False,False,False
LAB-035,2,2025-12-21T23:48:23Z,0,proteccion_caduca,1,2,active,2026-04-27,365,False,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-036,2,2025-12-21T23:48:23Z,0,proteccion_total,0,3,active,2026-06-04,365,False,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-040,2,2025-12-21T23:48:23Z,0,proteccion_total,2,3,active,2026-03-18,365,False,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,,,False,False,False
LAB-041,2,2025-12-21T23:48:23Z,0,proteccion_caduca,0,2,active,2025-12-13,365,False,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-044,2,2025-12-21T23:48:23Z,0,proteccion_total,2,3,active,2026-02-28,365,False,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,,,False,False,False
LAB-045,2,2025-12-21T23:48:23Z,0,proteccion_total,2,3,active,2026-01-07,365,False,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-046,2,2025-12-21T23:48:23Z,0,proteccion_basica,1,2,active,2026-03-04,240,False,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-048,2,2025-12-21T23:48:23Z,0,proteccion_caduca,0,2,active,2026-05-28,365,False,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,,,False,False,False
LAB-049,2,2025-12-21T23:48:23Z,0,proteccion_total,1,3,active,2026-02-02,365,False,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-051,2,2025-12-21T23:48:23Z,0,proteccion_basica,0,2,active,2026-03-22,240,False,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-052,2,2025-12-21T23:48:23Z,0,proteccion_basica,0,2,active,2026-03-06,240,False,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-053,2,2025-12-21T23:48:23Z,0,proteccion_total,2,3,active,2026-05-07,365,False,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-054,2,2025-12-21T23:48:23Z,0,proteccion_ilimitada,0,4,active,2026-04-30,180,False,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-055,2,2025-12-21T23:48:23Z,0,proteccion_total,0,3,active,2026-06-02,365,False,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-056,2,2025-12-21T23:48:23Z,0,proteccion_caduca,0,2,active,2026-04-04,365,False,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-059,2,2025-12-21T23:48:24Z,0,proteccion_caduca,0,2,active,2026-04-01,365,False,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-060,2,2025-12-21T23:48:24Z,0,proteccion_total,1,3,active,2026-01-31,365,False,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-061,2,2025-12-21T23:48:24Z,0,proteccion_total,0,3,active,2026-02-01,365,False,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
