placa,default_flag,label_date,nota
0116YXA,1,2025-07-17,dummy_label_replace_with_odoo
0603561C,0,2025-07-27,dummy_label_replace_with_odoo
060374K,0,2025-07-27,dummy_label_replace_with_odoo
060381K,0,2025-07-31,dummy_label_replace_with_odoo
060820K,0,2025-07-31,dummy_label_replace_with_odoo
060845K,1,2025-07-31,dummy_label_replace_with_odoo
060863K,0,2025-07-23,dummy_label_replace_with_odoo
060874K,0,2025-07-31,dummy_label_replace_with_odoo
061238K,0,2025-04-09,dummy_label_replace_with_odoo
061288K,0,2025-07-31,dummy_label_replace_with_odoo
061706K,1,2025-02-12,dummy_label_replace_with_odoo
061802K,0,2025-02-24,dummy_label_replace_with_odoo
061803K,0,2025-02-03,dummy_label_replace_with_odoo
061899K,0,2025-06-18,dummy_label_replace_with_odoo
0NXA9936,0,2025-06-24,dummy_label_replace_with_odoo
1050,1,2024-11-01,dummy_label_replace_with_odoo
109327,0,2025-07-26,dummy_label_replace_with_odoo
109456,0,2024-08-31,dummy_label_replace_with_odoo
11G896,0,2025-07-29,dummy_label_replace_with_odoo
120053K,0,2025-01-17,dummy_label_replace_with_odoo
120370K,1,2024-06-29,dummy_label_replace_with_odoo
120466K,0,2025-01-24,dummy_label_replace_with_odoo
120768K,0,2025-05-16,dummy_label_replace_with_odoo
121368K,0,2024-11-07,dummy_label_replace_with_odoo
121440K,0,2024-12-20,dummy_label_replace_with_odoo
122409K,1,2024-04-12,dummy_label_replace_with_odoo
122432K,0,2023-12-13,dummy_label_replace_with_odoo
1247JGE,0,2024-10-31,dummy_label_replace_with_odoo
1260079,0,2025-03-06,dummy_label_replace_with_odoo
1387JGE,0,2025-07-05,dummy_label_replace_with_odoo
1416JFHA,1,2024-02-15,dummy_label_replace_with_odoo
1507EDM016,0,2025-07-08,dummy_label_replace_with_odoo
1507MDF049,0,2024-03-17,dummy_label_replace_with_odoo
1511MDF034,0,2024-01-28,dummy_label_replace_with_odoo
1512EDM010,0,2025-05-21,dummy_label_replace_with_odoo
1602MDF050,1,2024-02-06,dummy_label_replace_with_odoo
1603MDF019,0,2025-02-11,dummy_label_replace_with_odoo
1610MDF004,0,2024-09-18,dummy_label_replace_with_odoo
1610MDF123,0,2024-05-13,dummy_label_replace_with_odoo
1611MDF003,0,2025-07-31,dummy_label_replace_with_odoo
1612MDF009,1,2024-02-27,dummy_label_replace_with_odoo
1701MDF078,0,2025-01-15,dummy_label_replace_with_odoo
1701MDF118,0,2024-12-27,dummy_label_replace_with_odoo
1703MDF193,0,2023-09-25,dummy_label_replace_with_odoo
1704EDM001,0,2025-07-30,dummy_label_replace_with_odoo
1704MDF094,1,2024-11-10,dummy_label_replace_with_odoo
1705MDF058,0,2024-09-03,dummy_label_replace_with_odoo
1706MDF121,0,2024-04-19,dummy_label_replace_with_odoo
1708MDF054,0,2025-07-10,dummy_label_replace_with_odoo
1710MDF045,0,2024-10-05,dummy_label_replace_with_odoo
