placa,plaza,first_record_date,last_record_date,records_total,litros_total,recaudo_total,avg_daily_litros,avg_daily_recaudo,litros_30d,recaudo_30d,records_30d,litros_90d,recaudo_90d,records_90d,litros_180d,recaudo_180d,records_180d,litros_365d,recaudo_365d,records_365d,avg_30d_litros,avg_30d_recaudo,max_30d_litros,max_30d_recaudo
0116YXA,Estado de M̩xico,2024-09-11,2025-07-17,199,2670.8167999999996,12383.76,8.671483116883115,40.20701298701299,68.81819999999999,145.56,5,314.2418,1053.48,24,1153.4198000000001,4069.2,89,2670.8167999999996,12383.76,199,242.80152727272724,1125.7963636363636,383.522,2302.44
0603561C,Estado de M̩xico,2024-08-29,2025-07-27,210,4800.1125999999995,0.0,14.45817048192771,0.0,186.2476,0.0,6,186.2476,0.0,6,1419.5376,0.0,56,4800.1125999999995,0.0,210,400.0093833333333,0.0,1089.82,0.0
060374K,Estado de M̩xico,2024-08-30,2025-07-27,266,5305.311,0.0,16.0767,0.0,203.97240000000002,0.0,12,220.35099999999997,0.0,13,2766.231,0.0,125,5305.311,0.0,266,442.10925,0.0,1001.022,0.0
060381K,Estado de M̩xico,2024-09-08,2025-07-31,308,10106.336,0.0,31.001030674846625,0.0,793.5976,0.0,26,2996.0884999999994,0.0,98,4846.160000000001,0.0,151,10106.336,0.0,308,918.7578181818183,0.0,1460.1552,0.0
060820K,Estado de M̩xico,2024-05-23,2025-07-31,313,9846.338,0.0,22.687414746543777,0.0,934.8004999999999,0.0,28,2692.304,0.0,81,5072.911,0.0,162,9843.949,0.0,312,656.4225333333333,0.0,1360.574,0.0
060845K,Estado de M̩xico,2024-08-29,2025-07-31,496,7119.8501,0.0,21.19003005952381,0.0,620.8981,0.0,53,1932.6997000000001,0.0,159,3662.7251,0.0,296,7119.8501,0.0,496,593.3208416666665,0.0,738.508,0.0
060863K,Estado de M̩xico,2024-09-10,2025-07-23,421,7185.0782,0.0,22.737589240506328,0.0,375.3026,0.0,33,1774.9142000000002,0.0,163,3527.2401999999993,0.0,256,7185.0782,0.0,421,653.1889272727274,0.0,1061.967,0.0
060874K,Estado de M̩xico,2024-10-17,2025-07-31,162,4830.627699999999,0.0,16.83145540069686,0.0,352.64189999999996,0.0,16,370.84040000000005,0.0,17,2181.9856999999997,0.0,85,4830.627699999999,0.0,162,483.06277,0.0,883.375,0.0
061238K,Estado de M̩xico,2024-08-31,2025-04-09,185,4917.447,0.0,22.352031818181818,0.0,552.0690000000001,0.0,22,2208.557,0.0,92,4168.637000000001,0.0,161,4917.447,0.0,185,614.680875,0.0,821.47,0.0
061288K,Estado de M̩xico,2024-10-09,2025-07-31,80,2940.2708999999995,0.0,10.000921428571427,0.0,421.07669999999996,0.0,12,1060.3799,0.0,28,2021.8699000000001,0.0,56,2940.2708999999995,0.0,80,294.02709000000004,0.0,498.209,0.0
061706K,Estado de M̩xico,2025-02-12,2025-02-12,1,20.85,0.0,20.85,0.0,20.85,0.0,1,20.85,0.0,1,20.85,0.0,1,20.85,0.0,1,20.85,0.0,20.85,0.0
061802K,Estado de M̩xico,2024-09-19,2025-02-24,16,334.23400000000004,0.0,2.1154050632911394,0.0,32.989000000000004,0.0,2,32.989000000000004,0.0,2,334.23400000000004,0.0,16,334.23400000000004,0.0,16,55.70566666666667,0.0,276.225,0.0
061803K,Estado de M̩xico,2025-02-03,2025-02-03,1,16.68,0.0,16.68,0.0,16.68,0.0,1,16.68,0.0,1,16.68,0.0,1,16.68,0.0,1,16.68,0.0,16.68,0.0
061899K,Estado de M̩xico,2024-12-24,2025-06-18,4,70.6013,0.0,0.40343599999999996,0.0,37.5313,0.0,2,37.5313,0.0,2,70.6013,0.0,4,70.6013,0.0,4,11.766883333333334,0.0,37.5313,0.0
0NXA9936,Estado de M̩xico,2024-03-27,2025-06-24,511,7468.8146,0.0,16.48744944812362,0.0,220.6121,0.0,16,886.0276000000001,0.0,64,2047.3156000000001,0.0,146,5475.660599999999,0.0,380,466.8009125,0.0,746.505,0.0
1050,Estado de M̩xico,2024-09-12,2024-11-01,2,82.618,0.0,1.6523599999999998,0.0,42.249,0.0,1,82.618,0.0,2,82.618,0.0,2,82.618,0.0,2,41.309,0.0,42.249,0.0
109327,Estado de M̩xico,2025-05-22,2025-07-26,3,73.7498,0.0,1.1346123076923076,0.0,29.9099,0.0,1,73.7498,0.0,3,73.7498,0.0,3,73.7498,0.0,3,24.583266666666663,0.0,43.8399,0.0
109456,Estado de M̩xico,2024-08-31,2024-08-31,5,67.67500000000001,0.0,67.67500000000001,0.0,67.67500000000001,0.0,5,67.67500000000001,0.0,5,67.67500000000001,0.0,5,67.67500000000001,0.0,5,67.675,0.0,67.675,0.0
11G896,Estado de M̩xico,2025-02-08,2025-07-29,123,1166.1302,0.0,6.81947485380117,0.0,219.71800000000002,0.0,24,694.5271999999999,0.0,73,1166.1302,0.0,123,1166.1302,0.0,123,194.35503333333335,0.0,264.7481,0.0
120053K,Estado de M̩xico,2024-09-09,2025-01-17,94,3258.9010000000007,0.0,25.262798449612408,0.0,675.8330000000001,0.0,19,2622.512,0.0,72,3258.9010000000007,0.0,94,3258.9010000000007,0.0,94,651.7802,0.0,938.433,0.0
120370K,Estado de M̩xico,2023-09-26,2024-06-29,195,6832.146000000001,0.0,24.664787003610112,0.0,895.153,0.0,25,2622.3550000000005,0.0,76,4078.035,0.0,119,6832.146000000001,0.0,195,683.2145999999999,0.0,954.906,0.0
120466K,Estado de M̩xico,2024-10-18,2025-01-24,18,549.075,0.0,5.60280612244898,0.0,43.5,0.0,1,339.918,0.0,12,549.075,0.0,18,549.075,0.0,18,137.26875,0.0,456.156,0.0
120768K,Estado de M̩xico,2025-05-16,2025-05-16,1,33.3495,0.0,33.3495,0.0,33.3495,0.0,1,33.3495,0.0,1,33.3495,0.0,1,33.3495,0.0,1,33.3495,0.0,33.3495,0.0
121368K,Estado de M̩xico,2024-10-27,2024-11-07,2,71.258,0.0,7.1258,0.0,71.258,0.0,2,71.258,0.0,2,71.258,0.0,2,71.258,0.0,2,71.258,0.0,71.258,0.0
121440K,Estado de M̩xico,2024-07-16,2024-12-20,72,3087.468,0.0,19.791461538461537,0.0,763.4939999999999,0.0,17,2320.1670000000004,0.0,52,3087.468,0.0,72,3087.468,0.0,72,514.5780000000001,0.0,823.345,0.0
122409K,Estado de M̩xico,2023-10-11,2024-04-12,58,2506.603,0.0,13.697284153005464,0.0,734.733,0.0,17,1965.981,0.0,44,2453.684,0.0,57,2506.603,0.0,58,358.0861428571428,0.0,761.779,0.0
122432K,Estado de M̩xico,2023-09-26,2023-12-13,29,1122.741,0.0,14.394115384615384,0.0,438.909,0.0,12,1122.741,0.0,29,1122.741,0.0,29,1122.741,0.0,29,374.247,0.0,518.0360000000001,0.0
1247JGE,Estado de M̩xico,2024-05-02,2024-10-31,5,36.003,0.0,0.19891160220994475,0.0,7.172,0.0,1,19.281,0.0,2,30.154,0.0,4,36.003,0.0,5,5.143285714285715,0.0,12.109,0.0
1260079,Estado de M̩xico,2024-09-23,2025-03-06,15,625.9849999999999,0.0,3.8169817073170726,0.0,91.678,0.0,2,91.678,0.0,2,625.9849999999999,0.0,15,625.9849999999999,0.0,15,104.33083333333333,0.0,534.307,0.0
1387JGE,Estado de M̩xico,2025-04-12,2025-07-05,4,40.717699999999994,83.08000000000001,0.4905746987951806,1.0009638554216869,8.3403,0.0,1,40.717699999999994,83.08000000000001,4,40.717699999999994,83.08000000000001,4,40.717699999999994,83.08000000000001,4,13.572566666666667,27.69333333333334,32.3774,83.08000000000001
1416JFHA,Estado de M̩xico,2023-12-09,2024-02-15,2,20.289,45.94,0.29836764705882357,0.6755882352941176,8.04,0.0,1,20.289,45.94,2,20.289,45.94,2,20.289,45.94,2,6.763000000000001,15.313333333333333,12.249,45.94
1507EDM016,Estado de M̩xico,2024-11-03,2025-07-08,59,2598.9707,0.0,10.564921544715446,0.0,424.5871,0.0,11,1182.8877,0.0,32,2253.4557,0.0,53,2598.9707,0.0,59,288.77452222222223,0.0,475.5227,0.0
1507MDF049,Estado de M̩xico,2024-03-17,2024-03-17,1,30.219,0.0,30.219,0.0,30.219,0.0,1,30.219,0.0,1,30.219,0.0,1,30.219,0.0,1,30.219,0.0,30.219,0.0
1511MDF034,Estado de M̩xico,2024-01-28,2024-01-28,1,15.612,0.0,15.612,0.0,15.612,0.0,1,15.612,0.0,1,15.612,0.0,1,15.612,0.0,1,15.612,0.0,15.612,0.0
1512EDM010,Estado de M̩xico,2025-05-21,2025-05-21,1,45.0,0.0,45.0,0.0,45.0,0.0,1,45.0,0.0,1,45.0,0.0,1,45.0,0.0,1,45.0,0.0,45.0,0.0
1602MDF050,Estado de M̩xico,2024-01-20,2024-02-06,3,43.827,0.0,2.5780588235294117,0.0,43.827,0.0,3,43.827,0.0,3,43.827,0.0,3,43.827,0.0,3,43.827,0.0,43.827,0.0
1603MDF019,Estado de M̩xico,2023-11-01,2025-02-11,6,67.754,0.0,0.14508351177730194,0.0,16.779,0.0,1,16.779,0.0,1,16.779,0.0,1,40.336,0.0,4,4.234624999999999,0.0,16.779,0.0
1610MDF004,Estado de M̩xico,2024-09-13,2024-09-18,2,20.703000000000003,51.75,4.140600000000001,10.35,20.703000000000003,51.75,2,20.703000000000003,51.75,2,20.703000000000003,51.75,2,20.703000000000003,51.75,2,20.703000000000003,51.75,20.703000000000003,51.75
1610MDF123,Estado de M̩xico,2023-11-29,2024-05-13,2,78.841,0.0,0.4778242424242424,0.0,38.809,0.0,1,38.809,0.0,1,78.841,0.0,2,78.841,0.0,2,13.140166666666666,0.0,40.032,0.0
1611MDF003,Estado de M̩xico,2023-10-31,2025-07-31,42,587.1804,0.0,0.9203454545454545,0.0,38.839,0.0,3,148.7654,0.0,12,263.1504,0.0,20,437.3194,0.0,32,26.690018181818186,0.0,114.38499999999999,0.0
1612MDF009,Estado de M̩xico,2023-11-15,2024-02-27,11,118.767,0.0,1.1419903846153845,0.0,9.98,0.0,1,90.201,0.0,8,118.767,0.0,11,118.767,0.0,11,29.691750000000003,0.0,63.873,0.0
1701MDF078,Estado de M̩xico,2025-01-15,2025-01-15,1,1.044,0.0,1.044,0.0,1.044,0.0,1,1.044,0.0,1,1.044,0.0,1,1.044,0.0,1,1.044,0.0,1.044,0.0
1701MDF118,Estado de M̩xico,2024-12-27,2024-12-27,1,15.329,0.0,15.329,0.0,15.329,0.0,1,15.329,0.0,1,15.329,0.0,1,15.329,0.0,1,15.329,0.0,15.329,0.0
1703MDF193,Estado de M̩xico,2023-09-25,2023-09-25,1,49.059,0.0,49.059,0.0,49.059,0.0,1,49.059,0.0,1,49.059,0.0,1,49.059,0.0,1,49.059,0.0,49.059,0.0
1704EDM001,Estado de M̩xico,2023-11-11,2025-07-30,27,287.88939999999997,0.0,0.4598872204472843,0.0,58.458800000000004,0.0,5,58.458800000000004,0.0,5,118.24440000000001,0.0,10,210.67640000000003,0.0,19,13.709019047619048,0.0,58.4588,0.0
1704MDF094,Estado de M̩xico,2024-11-10,2024-11-10,1,42.449,0.0,42.449,0.0,42.449,0.0,1,42.449,0.0,1,42.449,0.0,1,42.449,0.0,1,42.449,0.0,42.449,0.0
1705MDF058,Estado de M̩xico,2024-03-07,2024-09-03,150,1401.3600000000001,0.0,7.828826815642459,0.0,36.686,0.0,4,412.192,0.0,48,1401.3600000000001,0.0,150,1401.3600000000001,0.0,150,200.1942857142857,0.0,346.876,0.0
1706MDF121,Estado de M̩xico,2024-04-04,2024-04-19,5,140.386,0.0,9.359066666666667,0.0,140.386,0.0,5,140.386,0.0,5,140.386,0.0,5,140.386,0.0,5,140.386,0.0,140.386,0.0
1708MDF054,Estado de M̩xico,2023-12-27,2025-07-10,3,32.0372,0.0,0.05720928571428571,0.0,17.0292,0.0,1,17.0292,0.0,1,17.0292,0.0,1,17.0292,0.0,1,1.6861684210526315,0.0,17.0292,0.0
1710MDF045,Estado de M̩xico,2023-09-14,2024-10-05,16,563.106,0.0,1.4550542635658914,0.0,41.029,0.0,1,41.029,0.0,1,79.218,0.0,2,497.378,0.0,14,43.31584615384615,0.0,219.44,0.0
1711MDF017,Estado de M̩xico,2023-09-15,2023-11-21,41,501.082,0.0,7.592151515151515,0.0,110.51,0.0,9,501.082,0.0,41,501.082,0.0,41,501.082,0.0,41,167.02733333333333,0.0,371.372,0.0
1711MDF033,Estado de M̩xico,2024-03-07,2024-03-07,1,1.149,0.0,1.149,0.0,1.149,0.0,1,1.149,0.0,1,1.149,0.0,1,1.149,0.0,1,1.149,0.0,1.149,0.0
1711MDF126,Estado de M̩xico,2025-02-20,2025-02-20,1,0.199,0.0,0.199,0.0,0.199,0.0,1,0.199,0.0,1,0.199,0.0,1,0.199,0.0,1,0.199,0.0,0.199,0.0
1712MDF018,Estado de M̩xico,2023-11-16,2024-06-08,9,94.214,0.0,0.4618333333333333,0.0,16.41,0.0,1,32.06,0.0,2,47.64,0.0,3,94.214,0.0,9,13.459142857142856,0.0,46.574,0.0
1712MDF125,Estado de M̩xico,2024-04-04,2024-04-04,1,33.589,0.0,33.589,0.0,33.589,0.0,1,33.589,0.0,1,33.589,0.0,1,33.589,0.0,1,33.589,0.0,33.589,0.0
1712MDF126,Estado de M̩xico,2024-10-17,2024-10-26,8,104.662,0.0,11.629111111111111,0.0,104.662,0.0,8,104.662,0.0,8,104.662,0.0,8,104.662,0.0,8,104.66199999999999,0.0,104.66199999999999,0.0
1712MDF131,Estado de M̩xico,2023-09-13,2024-08-19,90,3836.342,0.0,11.283358823529412,0.0,918.825,0.0,22,1706.5929999999996,0.0,43,3017.3140000000003,0.0,72,3836.342,0.0,90,319.69516666666664,0.0,716.664,0.0
1712MDF162,Estado de M̩xico,2023-09-21,2023-10-18,5,168.346,0.0,6.474846153846154,0.0,168.346,0.0,5,168.346,0.0,5,168.346,0.0,5,168.346,0.0,5,168.346,0.0,168.346,0.0
1800827,Estado de M̩xico,2025-06-29,2025-07-18,2,57.2785,0.0,3.014657894736842,0.0,57.2785,0.0,2,57.2785,0.0,2,57.2785,0.0,2,57.2785,0.0,2,57.2785,0.0,57.2785,0.0
1801MDF009,Estado de M̩xico,2025-03-01,2025-04-15,6,80.77400000000002,0.0,1.8357727272727276,0.0,66.515,0.0,5,80.77400000000002,0.0,6,80.77400000000002,0.0,6,80.77400000000002,0.0,6,40.387,0.0,57.196,0.0
1802709,Estado de M̩xico,2024-03-27,2025-02-03,3,41.057,0.0,0.13159294871794872,0.0,14.709,0.0,1,14.709,0.0,1,14.709,0.0,1,41.057,0.0,3,3.7324545454545457,0.0,14.919,0.0
1802MDF002,Estado de M̩xico,2025-03-03,2025-03-03,1,11.849,0.0,11.849,0.0,11.849,0.0,1,11.849,0.0,1,11.849,0.0,1,11.849,0.0,1,11.849,0.0,11.849,0.0
1802MDF053,Estado de M̩xico,2025-03-21,2025-03-21,1,6.559,0.0,6.559,0.0,6.559,0.0,1,6.559,0.0,1,6.559,0.0,1,6.559,0.0,1,6.559,0.0,6.559,0.0
1802MDF058,Estado de M̩xico,2024-08-22,2025-07-27,10,151.46089999999998,0.0,0.44678731563421825,0.0,12.6297,0.0,1,28.6489,0.0,2,44.6279,0.0,3,151.46089999999998,0.0,10,12.621741666666665,0.0,50.577,0.0
1803342,Estado de M̩xico,2023-11-05,2025-04-19,6,63.097,0.0,0.11882674199623353,0.0,35.919,0.0,4,35.919,0.0,4,35.919,0.0,4,35.919,0.0,4,3.5053888888888887,0.0,35.919,0.0
1804272,Estado de M̩xico,2024-04-25,2024-08-15,2,60.308,0.0,0.5384642857142857,0.0,30.079,0.0,1,30.079,0.0,1,60.308,0.0,2,60.308,0.0,2,15.077,0.0,30.229,0.0
1804501,Estado de M̩xico,2023-11-11,2023-11-11,1,10.008,0.0,10.008,0.0,10.008,0.0,1,10.008,0.0,1,10.008,0.0,1,10.008,0.0,1,10.008,0.0,10.008,0.0
1804586,Estado de M̩xico,2025-04-30,2025-04-30,1,16.6397,0.0,16.6397,0.0,16.6397,0.0,1,16.6397,0.0,1,16.6397,0.0,1,16.6397,0.0,1,16.6397,0.0,16.6397,0.0
1912VLL28,Estado de M̩xico,2025-01-26,2025-01-28,2,2.0679999999999996,0.0,1.0339999999999998,0.0,2.0679999999999996,0.0,2,2.0679999999999996,0.0,2,2.0679999999999996,0.0,2,2.0679999999999996,0.0,2,2.0679999999999996,0.0,2.0679999999999996,0.0
2000012,Estado de M̩xico,2024-07-02,2024-07-19,2,32.718,0.0,2.044875,0.0,32.718,0.0,2,32.718,0.0,2,32.718,0.0,2,32.718,0.0,2,32.718,0.0,32.718,0.0
2000578,Estado de M̩xico,2024-09-01,2025-05-02,164,1146.0288,0.0,4.735656198347107,0.0,136.72180000000003,0.0,21,457.7398,0.0,63,885.9308000000001,0.0,122,1146.0288,0.0,164,127.33653333333334,0.0,195.917,0.0
2000705,Estado de M̩xico,2023-09-23,2025-06-18,120,1621.8041,0.0,2.5620917851500793,0.0,54.5479,0.0,4,87.3061,0.0,7,111.19409999999999,0.0,9,558.5041000000001,0.0,43,73.71836818181818,0.0,196.185,0.0
203ZCT,Estado de M̩xico,2025-06-13,2025-07-30,8,120.1357,0.0,2.611645652173913,0.0,40.658,0.0,3,120.1357,0.0,8,120.1357,0.0,8,120.1357,0.0,8,60.06785,0.0,79.4777,0.0
225C,Estado de M̩xico,2024-09-11,2025-07-31,770,19476.6152,0.0,60.48638260869565,0.0,2963.7801999999997,0.0,103,8411.4071,0.0,316,14382.0252,0.0,580,19476.6152,0.0,770,1770.6013818181818,0.0,3146.6122,0.0
2617JGE,Estado de M̩xico,2023-10-28,2024-01-06,5,47.654999999999994,302.08,0.6906521739130433,4.377971014492753,0.489,4.33,1,47.654999999999994,302.08,5,47.654999999999994,302.08,5,47.654999999999994,302.08,5,15.884999999999998,100.69333333333333,30.057,151.08
2900JGE,Estado de M̩xico,2023-09-26,2024-12-30,663,9551.612000000001,0.0,20.719331887201736,0.0,612.6310000000001,0.0,40,1898.9869999999996,0.0,126,3759.737,0.0,250,7589.6900000000005,0.0,524,596.9757500000001,0.0,672.328,0.0
299TLA,Estado de M̩xico,2024-12-08,2024-12-31,2,22.698,0.0,1.0317272727272728,0.0,22.698,0.0,2,22.698,0.0,2,22.698,0.0,2,22.698,0.0,2,22.698,0.0,22.698,0.0
305,Estado de M̩xico,2024-09-04,2024-09-04,1,50.249,0.0,50.249,0.0,50.249,0.0,1,50.249,0.0,1,50.249,0.0,1,50.249,0.0,1,50.249,0.0,50.249,0.0
308C,Estado de M̩xico,2024-09-06,2025-07-31,604,16020.5845,0.0,48.992613149847095,0.0,2254.7117,0.0,92,10090.8102,0.0,380,15077.0665,0.0,556,16020.5845,0.0,604,1456.4167727272725,0.0,4321.6622,0.0
320C,Estado de M̩xico,2024-08-29,2025-01-30,53,1698.2469999999996,0.0,11.027577922077919,0.0,45.870000000000005,0.0,2,89.38499999999999,0.0,4,1698.2469999999996,0.0,53,1698.2469999999996,0.0,53,283.04116666666664,0.0,1050.449,0.0
329VBS,Estado de M̩xico,2023-10-04,2025-07-31,651,9540.659099999999,35464.68,14.346855789473683,53.33034586466165,464.4558,1904.32,32,1309.5089999999998,5369.099999999999,93,2889.9601,11780.18,210,6534.826099999999,26540.25,445,414.8112652173913,1541.9426086956526,662.599,2717.25
