plaza_limpia,placa,fecha_dia,coverage_ratio_14d,coverage_ratio_30d,downtime_hours_30d,activity_drop_pct,average_speed_kph_30d,trip_count_30d,distance_km_30d,engine_hours_30d,driving_hours_30d,idling_hours_30d,after_hours_distance_km_30d,work_distance_km_30d,after_hours_ratio_30d,idle_pressure_30d,high_speed_pressure_30d,seatbelt_pressure_30d,telemetry_health_score,telemetry_alert,safety_score,safety_alert,protections_applied_last_12m,last_protection_at,expected_payment,gnv_credit_30d,bank_transfer,exposure_after_transfer,arrears_amount,risk_score,needs_protection,suggested_scenario,whatsapp_segment
EDOMEX - ECATEPEC,0116YXA,2025-07-17,0.1529919417222222,0.3448193050155556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,6206.74749028,9014.45,2778.802509719999,11793.25250972,0.249,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,0603561C,2025-07-27,0.3796920264444444,0.8027627708888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,14449.729876,1999.96,1550.3101240000005,3550.2701240000006,0.075,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060374K,2025-07-27,0.2693266783333333,0.6793714405555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,12228.68593,4704.54,1066.7740700000004,5771.31407,0.122,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060381K,2025-07-31,0.3723378546666667,0.729494629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,13130.903321999998,3498.06,1371.0366780000018,4869.096678000002,0.103,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060820K,2025-07-31,0.3695142948333333,0.8847292428333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,15925.126371,739.71,1335.1636289999997,2074.8736289999997,0.044,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,060845K,2025-07-31,0.2190665088333333,0.5019639008333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,9035.350215,7937.06,1027.5897849999992,8964.649785,0.189,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,060863K,2025-07-23,0.1776371486666666,0.5368403555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,9663.126399,6308.38,2028.4936009999992,8336.873601,0.176,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,060874K,2025-07-31,0.2680352002222222,0.7692530809444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,13846.555457,3204.96,948.4845429999996,4153.444543,0.088,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,061238K,2025-04-09,0.3415748661111111,0.721059066111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,12979.06319,1892.23,3128.706809999999,5020.936809999999,0.106,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,061288K,2025-07-31,0.396600684,0.8798668388333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,15837.603099,1233.07,929.3269010000001,2162.396901,0.046,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,061706K,2025-02-12,0.0139115833333333,0.0139115833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,250.4085,9273.79,8475.801499999998,17749.5915,0.375,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,061802K,2025-02-24,0.2230083522222222,0.2230083522222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,4014.15034,11972.71,2013.1396600000007,13985.84966,0.295,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,061803K,2025-02-03,0.0111292666666666,0.0111292666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,200.3268,12216.26,5583.413200000001,17799.6732,0.376,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,061899K,2025-06-18,0.0474693673888888,0.0474693673888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,854.4486129999999,13607.69,3537.861386999999,17145.551387,0.362,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,0NXA9936,2025-06-24,0.1330510403333333,0.3018494298888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,5433.2897379999995,7113.37,5453.340262000001,12566.710262,0.265,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1050,2024-11-01,0.0551245655555555,0.0551245655555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,992.24218,7421.22,9586.537819999998,17007.75782,0.359,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,109327,2025-07-26,0.0492075054444444,0.0492075054444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,885.735098,10829.07,6285.194901999999,17114.264902,0.361,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,109456,2024-08-31,0.0451542638888888,0.0451542638888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,812.77675,5814.27,11372.953249999999,17187.22325,0.363,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,11G896,2025-07-29,0.1169241947777777,0.2729796507222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,,18000.0,4913.633713,10424.32,2662.046287000001,13086.366287,0.276,1,restructure-light,PIA_OPCIONES
