plaza_limpia,placa,fecha_dia,coverage_ratio_14d,coverage_ratio_30d,downtime_hours_30d,activity_drop_pct,average_speed_kph_30d,trip_count_30d,distance_km_30d,engine_hours_30d,driving_hours_30d,idling_hours_30d,after_hours_distance_km_30d,work_distance_km_30d,after_hours_ratio_30d,idle_pressure_30d,high_speed_pressure_30d,seatbelt_pressure_30d,telemetry_health_score,telemetry_alert,safety_score,safety_alert,protections_applied_last_12m,last_protection_at,expected_payment,gnv_credit_30d,bank_transfer,exposure_after_transfer,arrears_amount,risk_score,needs_protection,suggested_scenario,whatsapp_segment,plaza,first_record_date,last_record_date,records_total,litros_total,recaudo_total,avg_daily_litros,avg_daily_recaudo,litros_30d,recaudo_30d,records_30d,litros_90d,recaudo_90d,records_90d,litros_180d,recaudo_180d,records_180d,litros_365d,recaudo_365d,records_365d,avg_30d_litros,avg_30d_recaudo,max_30d_litros,max_30d_recaudo,scenario,intent,idle_hours_ratio_30d,fault_events_30d,gps_operational_ratio,seatbelt_off_rate_30d,high_speed_ratio_30d,after_hours_driving_hours_30d,after_hours_stop_hours_30d,hase_consumption_gap_flag,hase_fault_alert_flag,hase_downtime_alert_flag,hase_telemetry_ok_flag
EDOMEX - ECATEPEC,0116YXA,2025-07-17,0.1529919417222222,0.3448193050155556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604286830268849,0.9660292146836521,0.674551810718756,0.6906997379718449,0,0.7911427723047144,0,0,,18000.0,6206.74749028,9014.45,2778.802509719999,11793.25250972,0.249,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-09-11,2025-07-17,199,2670.8167999999996,12383.76,8.671483116883115,40.20701298701299,68.81819999999999,145.56,5,314.2418,1053.48,24,1153.4198,4069.2,89,2670.8167999999996,12383.76,199,242.80152727272724,1125.7963636363636,383.522,2302.44,base,,0.36257209816130936,0,0.8815677860875369,0.24283865185875214,0.3670911015797878,0.0,35.193604815809316,0,0,0,0
EDOMEX - ECATEPEC,0603561C,2025-07-27,0.3796920264444444,0.8027627708888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9102152033308825,0.5099717559751981,0.7186429280005547,0.6454113073291969,0,0.635174459190412,0,0,,18000.0,14449.729876,1999.96,1550.3101240000003,3550.2701240000006,0.075,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-08-29,2025-07-27,210,4800.1125999999995,0.0,14.45817048192771,0.0,186.2476,0.0,6,186.2476,0.0,6,1419.5376,0.0,56,4800.1125999999995,0.0,210,400.0093833333333,0.0,1089.82,0.0,base,,0.5461291219985295,0,0.878294014662607,0.2587114540801997,0.19378926727057527,0.0,35.28647863844708,0,0,0,0
EDOMEX - ECATEPEC,060374K,2025-07-27,0.2693266783333333,0.6793714405555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3477242163848362,0.4339510113180944,0.8951659068153426,0.7709329561805023,0,0.7106799486164433,0,0,,18000.0,12228.68593,4704.54,1066.7740700000004,5771.31407,0.122,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-08-30,2025-07-27,266,5305.311,0.0,16.0767,0.0,203.9724,0.0,12,220.35099999999997,0.0,13,2766.231,0.0,125,5305.311,0.0,266,442.10925,0.0,1001.022,0.0,base,,0.20863452983090172,0,0.9497558186723171,0.3222597264535233,0.16490138430087586,0.0,14.667333441022034,0,0,0,0
EDOMEX - ECATEPEC,060381K,2025-07-31,0.3723378546666667,0.729494629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3633850372057778,0.7224851510717097,0.4865010470709421,0.7929748029643058,0,0.5808946886712492,0,0,,18000.0,13130.903321999998,3498.06,1371.0366780000018,4869.096678000002,0.103,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-09-08,2025-07-31,308,10106.336,0.0,31.001030674846625,0.0,793.5976,0.0,26,2996.0884999999994,0.0,98,4846.160000000001,0.0,151,10106.336,0.0,308,918.7578181818184,0.0,1460.1552,0.0,base,,0.21803102232346666,0,0.9201952720816856,0.17514037694553916,0.2745443574072497,0.0,26.09862812028721,0,0,0,0
EDOMEX - ECATEPEC,060820K,2025-07-31,0.3695142948333333,0.8847292428333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23608587072041634,0.8514341135769771,0.6878810846450167,0.7903180730763357,0,0.7533022962178009,0,0,,18000.0,15925.126371,739.71,1335.1636289999997,2074.8736289999997,0.044,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-05-23,2025-07-31,313,9846.338,0.0,22.687414746543777,0.0,934.8005,0.0,28,2692.304,0.0,81,5072.911,0.0,162,9843.949,0.0,312,656.4225333333333,0.0,1360.574,0.0,base,,0.1416515224322498,0,0.9338825638468818,0.247637190472206,0.3235449631592513,0.0,33.484528017094846,0,0,0,0
EDOMEX - ECATEPEC,060845K,2025-07-31,0.2190665088333333,0.5019639008333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5821812932196996,0.5645147464567475,0.4725352907954311,0.7525892620830835,0,0.5093270730599577,0,0,,18000.0,9035.350215,7937.06,1027.5897849999992,8964.649785,0.189,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-08-29,2025-07-31,496,7119.8501,0.0,21.19003005952381,0.0,620.8981,0.0,53,1932.6997,0.0,159,3662.7251,0.0,296,7119.8501,0.0,496,593.3208416666665,0.0,738.508,0.0,base,,0.34930877593181975,3,0.9491959456867718,0.1701127046863552,0.21451560365356406,0.0,43.585466787243114,0,0,0,0
EDOMEX - ECATEPEC,060863K,2025-07-23,0.1776371486666666,0.5368403555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6266860939729427,0.4188639132828974,0.6582037404465501,0.7308349145905465,0,0.562467809581089,0,0,,18000.0,9663.126399,6308.38,2028.4936009999992,8336.873601,0.176,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-09-10,2025-07-23,421,7185.0782,0.0,22.737589240506328,0.0,375.3026,0.0,33,1774.9142000000002,0.0,163,3527.2401999999993,0.0,256,7185.0782,0.0,421,653.1889272727274,0.0,1061.967,0.0,base,,0.3760116563837656,1,0.9266399475800003,0.236953346560758,0.15916828704750102,0.0,9.748296969989292,0,0,0,0
EDOMEX - ECATEPEC,060874K,2025-07-31,0.2680352002222222,0.7692530809444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7111378463407817,0.3933158515389327,0.5040001015761167,0.730270258102556,0,0.4597264015612431,0,0,,18000.0,13846.555457,3204.96,948.4845429999996,4153.444543,0.088,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-10-17,2025-07-31,162,4830.627699999999,0.0,16.83145540069686,0.0,352.64189999999996,0.0,16,370.8404000000001,0.0,17,2181.9856999999997,0.0,85,4830.627699999999,0.0,162,483.06277,0.0,883.375,0.0,base,,0.426682707804469,0,0.9602770826732675,0.181440036567402,0.14946002358479443,0.0,43.36430562228531,0,0,0,0
EDOMEX - ECATEPEC,061238K,2025-04-09,0.3415748661111111,0.721059066111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41825111112861246,0.4152041578440999,0.789071203596899,0.7675323451586911,0,0.6395243852957794,0,0,,18000.0,12979.06319,1892.23,3128.706809999999,5020.936809999999,0.106,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-08-31,2025-04-09,185,4917.447,0.0,22.352031818181818,0.0,552.0690000000001,0.0,22,2208.557,0.0,92,4168.637000000001,0.0,161,4917.447,0.0,185,614.680875,0.0,821.47,0.0,base,,0.2509506666771675,0,0.8946414298310194,0.2840656332948836,0.15777757998075798,0.0,44.66384356353509,0,0,0,0
EDOMEX - ECATEPEC,061288K,2025-07-31,0.396600684,0.8798668388333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17585926806543709,0.23408123747472456,0.060523449767970104,0.9300458700135064,0,0.1299465648506719,0,0,,18000.0,15837.603099,1233.07,929.326901,2162.396901,0.046,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-10-09,2025-07-31,80,2940.2708999999995,0.0,10.000921428571427,0.0,421.0767,0.0,12,1060.3799,0.0,28,2021.8699,0.0,56,2940.2708999999995,0.0,80,294.02709000000004,0.0,498.209,0.0,base,,0.10551556083926225,0,0.9702586621039568,0.021788441916469236,0.08895087024039533,0.0,44.71522289743404,0,0,0,0
