placa,overall_portfolio_risk,core_financial_risk,telemetry_enhancement_score,overall_risk_score,risk_category,projected_insurance_cost,coverage_ratio_30d,gnv_credit_30d,arrears_amount,expected_payment,coverage_risk,credit_utilization,arrears_risk,safety_risk_component,operational_risk_component,accident_risk_score,fuel_efficiency_proxy,unauthorized_use_risk,tampering_risk,total_safety_events,harsh_brake_events,overspeed_events,idling_events,after_hours_events,disconnect_events,hase_default_risk,scenario_type
0116YXA,0.1567823268986519,0.19597790862331485,0.0,0.1567823268986519,low,14293.249130505441,0.3448193050155556,6206.74749028,11793.25250972,18000.0,0.6551806949844444,0.4310241312694445,0.6551806949844444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0603561C,0.11681761610074076,0.14602202012592594,0.0,0.11681761610074076,low,13861.630253887999,0.8027627708888888,14449.729876,3550.2701240000006,18000.0,0.1972372291111112,1.0,0.19723722911111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
060374K,0.1277878084851852,0.15973476060648148,0.0,0.1277878084851852,low,13980.10833164,0.6793714405555555,12228.68593,5771.31407,18000.0,0.32062855944444446,0.8492143006944444,0.32062855944444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
060381K,0.12344379882,0.154304748525,0.0,0.12344379882,low,13933.193027256,0.729494629,13130.903321999998,4869.096678000002,18000.0,0.27050537100000005,0.9118682862499998,0.2705053710000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
060820K,0.10151720800444444,0.12689651000555555,0.0,0.10151720800444444,low,13696.385846448,0.8847292428333333,15925.126371,2074.873629,18000.0,0.11527075716666668,1.0,0.11527075716666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
060845K,0.14316312859444444,0.17895391074305556,0.0,0.14316312859444444,low,14146.161788819998,0.5019639008333332,9035.350215,8964.649785,18000.0,0.4980360991666668,0.6274548760416667,0.49803609916666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
060863K,0.14014050252333335,0.17517562815416668,0.0,0.14014050252333335,low,14113.517427252,0.5368403555,9663.126399,8336.873601,18000.0,0.4631596445,0.671050444375,0.46315964449999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
060874K,0.11999806631814816,0.1499975828976852,0.0,0.11999806631814816,low,13895.979116235998,0.7692530809444443,13846.555457,4153.444543,18000.0,0.23074691905555567,0.9615663511805556,0.23074691905555553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
061238K,0.12417488093703705,0.1552186011712963,0.0,0.12417488093703705,low,13941.08871412,0.721059066111111,12979.06319,5020.936809999999,18000.0,0.27894093388888896,0.9013238326388889,0.27894093388888885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
061288K,0.10242485675111113,0.1280310709388889,0.0,0.10242485675111113,low,13706.188452912,0.8798668388333333,15837.603099,2162.396901,18000.0,0.12013316116666672,1.0,0.12013316116666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
061706K,0.1854609961111111,0.23182624513888886,0.0,0.1854609961111111,low,14602.978758,0.0139115833333333,250.4085,17749.5915,18000.0,0.9860884166666667,0.017389479166666666,0.9860884166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
061802K,0.16733927614074073,0.20917409517592592,0.0,0.16733927614074073,low,14407.26418232,0.2230083522222222,4014.15034,13985.84966,18000.0,0.7769916477777778,0.2787604402777778,0.7769916477777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
061803K,0.18570213022222226,0.23212766277777783,0.0,0.18570213022222226,low,14605.5830064,0.0111292666666666,200.3268,17799.6732,18000.0,0.9888707333333334,0.013911583333333333,0.9888707333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
061899K,0.18255265482629632,0.22819081853287038,0.0,0.18255265482629632,low,14571.568672123998,0.0474693673888888,854.4486129999999,17145.551387,18000.0,0.9525306326111111,0.059336709236111104,0.952530632611111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0NXA9936,0.160506382742963,0.20063297842870373,0.0,0.160506382742963,low,14333.468933623999,0.3018494298888888,5433.289738,12566.710262,18000.0,0.6981505701111113,0.37731178736111115,0.6981505701111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1050,0.18188920431851852,0.22736150539814814,0.0,0.18188920431851852,low,14564.403406639998,0.0551245655555555,992.24218,17007.75782,18000.0,0.9448754344444446,0.06890570694444444,0.9448754344444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109327,0.18240201619481483,0.22800252024351852,0.0,0.18240201619481483,low,14569.941774903999,0.0492075054444444,885.735098,17114.264902,18000.0,0.9507924945555556,0.061509381805555555,0.9507924945555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109456,0.18275329712962965,0.22844162141203705,0.0,0.18275329712962965,low,14573.735609000001,0.0451542638888888,812.77675,17187.22325,18000.0,0.9548457361111112,0.05644282986111111,0.954845736111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11G896,0.16300843027074075,0.20376053783842593,0.0,0.16300843027074075,low,14360.491046923999,0.2729796507222222,4913.633713,13086.366287,18000.0,0.7270203492777778,0.3412245634027778,0.7270203492777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
120053K,0.09644983666666668,0.12056229583333335,0.0,0.09644983666666668,low,13641.658236,0.911875875,16413.76575,1586.234250000001,18000.0,0.088124125,1.0,0.08812412500000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
120370K,0.11770066855555555,0.14712583569444443,0.0,0.11770066855555555,low,13871.167220399999,0.7957615166666667,14323.7073,3676.2927,18000.0,0.20423848333333328,0.9947018958333333,0.20423848333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
120466K,0.15072666083333336,0.18840832604166668,0.0,0.15072666083333336,low,14227.847936999999,0.414692375,7464.46275,10535.53725,18000.0,0.585307625,0.51836546875,0.585307625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
120768K,0.18473820095000004,0.23092275118750002,0.0,0.18473820095000004,low,14595.17257026,0.0222515275,400.527495,17599.472505,18000.0,0.9777484725,0.027814409374999998,0.9777484725000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
121368K,0.1824791351703704,0.22809891896296297,0.0,0.1824791351703704,low,14570.77465984,0.0483176711111111,869.7180800000001,17130.28192,18000.0,0.9516823288888889,0.060397088888888895,0.9516823288888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
121440K,0.0722885866074074,0.09036073325925925,0.0,0.0722885866074074,low,13380.71673536,1.0722945005555555,19301.30101,0.0,18000.0,-0.07229450055555553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
122409K,0.07077512462222221,0.08846890577777776,0.0,0.07077512462222221,low,13364.371345919999,1.0864832066666668,19556.69772,0.0,18000.0,-0.08648320666666676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
122432K,0.12444602376666668,0.15555752970833334,0.0,0.12444602376666668,low,13944.017056679999,0.7179304950000001,12922.74891,5077.25109,18000.0,0.28206950499999994,0.8974131187500001,0.282069505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1247JGE,0.18458475985555556,0.23073094981944445,0.0,0.18458475985555556,low,14593.51540644,0.0240220016666666,432.39603,17567.60397,18000.0,0.9759779983333334,0.030027502083333334,0.9759779983333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1260079,0.15046850442592596,0.18808563053240743,0.0,0.15046850442592596,low,14225.0598478,0.4176711027777778,7518.07985,10481.92015,18000.0,0.5823288972222223,0.5220888784722222,0.5823288972222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1387JGE,0.1843121279625926,0.23039015995324075,0.0,0.1843121279625926,low,14590.570981996,0.0271677542777777,489.019577,17510.980423,18000.0,0.9728322457222223,0.03395969284722222,0.9728322457222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1416JFHA,0.18550356923333336,0.2318794615416667,0.0,0.18550356923333336,low,14603.438547719998,0.013420355,241.56639,17758.43361,18000.0,0.986579645,0.01677544375,0.986579645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1507EDM016,0.0981524304162963,0.12269053802037037,0.0,0.0981524304162963,low,13660.046248496,0.9027548370555556,16249.587067,1750.4129329999996,18000.0,0.09724516294444441,1.0,0.09724516294444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1507MDF049,0.18491922501111113,0.2311490312638889,0.0,0.18491922501111113,low,14597.12763012,0.0201627883333333,362.93019,17637.06981,18000.0,0.9798372116666667,0.025203485416666664,0.9798372116666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
