hotspot_type,priority,placa,overall_portfolio_risk,core_financial_risk,telemetry_enhancement_score,safety_risk_component,operational_risk_component,risk_category,projected_insurance_cost,coverage_ratio_30d,arrears_amount,harsh_brake_events,overspeed_events,idling_events,after_hours_events
portfolio_risk,HIGH,CR5662,0.33598345022,0.2333218404305555,0.0,0.0,0.0,high,23385.441122112,0.0001060883333333,17998.09041,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,772,0.3359189164866666,0.2332770253379629,0.0,0.0,0.0,high,23384.821598272,0.0005197661111111,17990.64421,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,1912VLL28,0.3357847487733333,0.2331838533148148,0.0,0.0,0.0,high,23383.533588224003,0.0013798155555555,17975.16332,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,NSV5525,0.33537065622,0.2328962890416666,0.0,0.0,0.0,high,23379.558299712,0.004034255,17927.38341,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A3472C,0.3352616598,0.2328205970833333,0.0,0.0,0.0,high,23378.51193408,0.00473295,17914.8069,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,M76BDV,0.3352013748133333,0.2327787325092592,0.0,0.0,0.0,high,23377.933198208,0.0051193922222222,17907.85094,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,PZL117C,0.3351693884000001,0.2327565197222222,0.0,0.0,0.0,high,23377.62612864,0.0053244333333333,17904.1602,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A2901C,0.3351651643533334,0.2327535863564815,0.0,0.0,0.0,high,23377.585577792,0.0053515105555555,17903.67281,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,NWM1788,0.335138224852,0.2327348783694444,0.0,0.0,0.0,high,23377.3269585792,0.0055241996666666,17900.564406,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,FVV484A,0.3350871807506667,0.2326994310768518,0.0,0.0,0.0,high,23376.8369352064,0.0058514054444444,17894.674702,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A0582H,0.33504601242,0.2326708419583333,0.0,0.0,0.0,high,23376.441719232,0.006115305,17889.92451,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A0278C,0.3348519388866666,0.2325360686712962,0.0,0.0,0.0,high,23374.578613312,0.0073593661111111,17867.53141,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A4913C,0.3348509413533334,0.2325353759398148,0.0,0.0,0.0,high,23374.569036992,0.0073657605555555,17867.41631,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A25907,0.3348447420866667,0.2325310708935185,0.0,0.0,0.0,high,23374.509524032,0.0074054994444444,17866.70101,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A1178C,0.334806167568,0.2325042830333333,0.0,0.0,0.0,high,23374.139208652803,0.007652772,17862.250104,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,Y01BBX,0.33470665782,0.2324351790416666,0.0,0.0,0.0,high,23373.183915072,0.008290655,17850.76821,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A7315E,0.3346994160400001,0.2324301500277778,0.0,0.0,0.0,high,23373.114393984,0.0083370766666666,17849.93262,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,P803547,0.3346990207533333,0.2324298755231481,0.0,0.0,0.0,high,23373.110599232,0.0083396105555555,17849.88701,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A9254H,0.3346983187533334,0.2324293880231481,0.0,0.0,0.0,high,23373.103860032,0.0083441105555555,17849.80601,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,NTD7180,0.33463510062,0.2323854865416666,0.0,0.0,0.0,high,23372.496965952,0.008749355,17842.51161,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A1118K,0.3345491359533334,0.2323257888564815,0.0,0.0,0.0,high,23371.671705152,0.0093004105555555,17832.59261,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A3151A,0.3345407882026667,0.2323199918074074,0.0,0.0,0.0,high,23371.5915667456,0.0093539217777777,17831.629408,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A2381G,0.3345366455533333,0.2323171149675925,0.0,0.0,0.0,high,23371.551797312,0.0093804772222222,17831.15141,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A9933E,0.33450224491,0.2322932256319444,0.0,0.0,0.0,high,23371.221551136,0.0096009941666666,17827.182105,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A5829B,0.33444861822,0.232255984875,0.0,0.0,0.0,high,23370.706734912,0.009944755,17820.99441,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,B49AGZ,0.3344377632200001,0.2322484466805555,0.0,0.0,0.0,high,23370.602526912,0.0100143383333333,17819.74191,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A9913D,0.3344349699533334,0.232246506912037,0.0,0.0,0.0,high,23370.575711552003,0.0100322438888888,17819.41961,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A6934H,0.33443151802,0.2322441097361111,0.0,0.0,0.0,high,23370.542572992,0.0100543716666666,17819.02131,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A7878L,0.33434720782,0.2321855609861111,0.0,0.0,0.0,high,23369.733195072,0.0105948216666666,17809.29321,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A1805G,0.3343169914606667,0.2321645774032407,0.0,0.0,0.0,high,23369.4431180224,0.0107885162777777,17805.806707,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,L37AZX,0.3342899601533334,0.232145805662037,0.0,0.0,0.0,high,23369.183617472,0.0109617938888888,17802.68771,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,1804586,0.3342680290926667,0.2321305757587962,0.0,0.0,0.0,high,23368.9730792896,0.0111023776111111,17800.157203,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A9448K,0.3342379168200001,0.2321096644583333,0.0,0.0,0.0,high,23368.684001472,0.011295405,17796.68271,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,NDE466A,0.3342346901333334,0.2321074237037037,0.0,0.0,0.0,high,23368.65302528,0.0113160888888888,17796.3104,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,T07BAW,0.3342202012693333,0.2320973619925926,0.0,0.0,0.0,high,23368.5139321856,0.0114089662222222,17794.638608,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A2101H,0.3342118951533333,0.2320915938564814,0.0,0.0,0.0,high,23368.434193472,0.0114622105555555,17793.68021,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,NCZ4998,0.33417858742,0.2320684634861111,0.0,0.0,0.0,high,23368.114439232,0.0116757216666666,17789.83701,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A8675A,0.3341417896200001,0.2320429094583334,0.0,0.0,0.0,high,23367.761180352,0.0119116049999999,17785.59111,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,PDR8767,0.3341385552199999,0.2320406633472222,0.0,0.0,0.0,high,23367.730130112,0.0119323383333333,17785.21791,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A9675D,0.3339569869066667,0.2319145742407407,0.0,0.0,0.0,high,23365.987074304,0.0130962377777777,17764.26772,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,NRD541A,0.333729807348,0.2317568106583333,0.0,0.0,0.0,high,23363.8061505408,0.0145525169999999,17738.054694,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,NSM4747,0.3336716853533334,0.231716448162037,0.0,0.0,0.0,high,23363.248179392,0.0149250938888888,17731.34831,0.0,0.0,0.0,0.0
