placa,plan_type,protections_allowed,protections_used,status,valid_until,reset_cycle_days,requires_manual_review
LAB-000,proteccion_caduca,2,0,active,2026-01-29,365,no
LAB-001,proteccion_light,1,1,active,2026-04-11,180,no
LAB-002,proteccion_total,3,1,active,2026-03-04,365,no
LAB-003,proteccion_caduca,2,2,active,2026-05-10,365,no
LAB-004,proteccion_total,3,0,active,2026-03-08,365,no
LAB-005,proteccion_basica,2,1,active,2026-04-14,240,no
LAB-006,proteccion_total,3,0,active,2026-04-09,365,no
LAB-007,proteccion_light,1,1,active,2026-01-27,180,no
LAB-008,proteccion_basica,2,0,active,2025-12-18,240,no
LAB-009,proteccion_basica,2,2,active,2026-03-04,240,no
LAB-010,proteccion_caduca,2,0,active,2026-06-04,365,no
LAB-011,proteccion_ilimitada,4,3,active,2026-03-21,180,no
LAB-012,proteccion_basica,2,2,active,2026-05-01,240,no
LAB-013,proteccion_caduca,2,0,active,2026-01-22,365,no
LAB-014,proteccion_caduca,2,2,active,2025-12-21,365,no
LAB-015,proteccion_light,1,0,active,2026-05-06,180,no
LAB-016,proteccion_ilimitada,4,1,active,2026-01-27,180,no
LAB-017,proteccion_basica,2,0,active,2026-05-01,240,no
LAB-018,proteccion_light,1,1,active,2026-05-23,180,no
LAB-019,proteccion_total,3,3,active,2026-04-17,365,no
LAB-020,proteccion_light,1,0,active,2026-05-27,180,no
LAB-021,proteccion_caduca,2,2,active,2026-02-05,365,no
LAB-022,proteccion_total,3,3,expired,2026-04-26,365,yes
LAB-023,proteccion_total,3,2,active,2026-03-17,365,no
LAB-024,proteccion_caduca,2,1,active,2026-06-01,365,no
LAB-025,proteccion_caduca,2,2,active,2026-01-04,365,no
LAB-026,proteccion_total,3,2,active,2026-03-29,365,no
LAB-027,proteccion_caduca,2,0,active,2026-05-12,365,no
LAB-028,proteccion_total,3,3,active,2026-02-24,365,no
LAB-029,proteccion_light,1,1,active,2026-02-28,180,no
LAB-030,proteccion_total,3,3,active,2026-02-21,365,no
LAB-031,proteccion_caduca,2,2,active,2025-12-15,365,no
LAB-032,proteccion_ilimitada,4,1,active,2026-05-14,180,no
