placa,market,plan_type,balance,payment,term_months,protections_allowed,protections_used,protections_remaining,contract_status,contract_valid_until,contract_reset_cycle_days,requires_manual_review,expected_payment,bank_transfer,cash_collection,observed_payment,arrears_amount,coverage_ratio_30d,coverage_ratio_14d,coverage_ratio_7d,gnv_credit_30d,gnv_credit_14d,gnv_credit_7d,litros_30d,avg_30d_litros,downtime_hours_30d,downtime_hours_14d,downtime_hours_7d,distance_km_30d,engine_hours_30d,driving_hours_30d,idling_hours_30d,fault_events_30d,idle_hours_ratio_30d,seatbelt_off_rate_30d,high_speed_ratio_30d,after_hours_distance_km_30d,after_hours_driving_hours_30d,after_hours_stop_hours_30d,after_hours_ratio_30d,safety_score,safety_alert,telemetry_health_score,telemetry_alert,idle_pressure_30d,high_speed_pressure_30d,seatbelt_pressure_30d,hase_consumption_gap_flag,hase_fault_alert_flag,hase_telemetry_ok_flag,has_recent_promise_break,last_protection_at,scenario,risk_story
LAB-000,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,0,2,active,2026-01-29,365,False,17200,11431.97,6467.34,17899.31,-2034.65,0.542,0.248,0.121,9702.41,4261.74,2088.81,477.53,15.92,270.7,125.44,62.82,1541.9,73.4,61.93,15.7,2,0.253,0.335,0.309,605.5,15.8,17.09,0.393,0.883,0,0.192,1,0.422,0.812,0.93,0,0,0,0,2025-07-19,baseline,baseline
LAB-001,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,0,active,2026-04-11,180,False,13500,9351.11,5041.32,14392.43,0.0,1.161,0.506,0.243,14089.76,6835.41,3282.8,1085.72,36.19,154.89,74.88,38.89,3228.3,145.6,132.82,48.6,0,0.366,0.416,0.276,738.6,30.5,26.78,0.229,0.89,1,0.168,1,0.61,0.725,1.0,0,0,1,0,2025-09-28,baseline,baseline
LAB-002,AGUASCALIENTES,proteccion_total,520000,19000,48,3,1,2,active,2026-03-04,365,False,19000,8311.18,9103.0,17414.18,1585.82,1.363,0.642,0.302,26542.64,12201.69,5745.03,1364.1,45.47,123.55,62.26,30.87,3887.5,168.3,130.34,33.82,0,0.259,0.301,0.365,1175.4,22.15,8.29,0.302,0.886,0,0.225,1,0.432,0.961,0.836,1,0,1,0,2025-08-05,consumption_gap,consumption_gap
LAB-003,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,2,0,active,2026-05-10,365,False,17200,10185.59,6467.0,16652.59,-1664.76,0.456,0.218,0.116,7587.93,3757.25,1996.42,403.55,13.45,280.0,134.19,67.0,1231.7,52.0,41.96,13.4,2,0.319,0.331,0.36,301.9,10.61,16.58,0.245,0.93,0,0.154,1,0.532,0.946,0.919,0,0,0,0,2025-09-18,baseline,baseline
LAB-004,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-03-08,365,False,19000,9944.57,9740.36,19684.93,0.0,0.575,0.263,0.121,11427.66,4998.32,2291.94,468.19,15.61,263.15,121.59,61.28,1466.1,70.7,54.61,9.84,2,0.18,0.266,0.277,235.2,14.29,14.45,0.16,0.736,0,0.252,1,0.3,0.73,0.739,0,0,0,0,2025-08-01,baseline,baseline
LAB-005,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2026-04-14,240,False,16800,10207.19,6543.01,16750.2,-978.77,0.119,0.119,0.087,2171.27,1991.12,1464.14,200.0,6.67,100.7,100.7,77.29,665.4,26.0,23.03,10.8,0,0.469,0.267,0.356,124.2,4.5,11.86,0.187,0.819,0,0.165,1,0.782,0.936,0.741,0,0,1,0,2025-08-26,baseline,baseline
LAB-006,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-04-09,365,False,19000,7321.74,10183.39,17505.13,1494.87,1.6,1.5,1.4,31604.75,28500.0,26600.0,3800.0,126.67,0.0,0.0,0.0,12067.2,552.9,446.53,147.48,0,0.33,0.274,0.232,3595.2,51.16,27.76,0.298,0.701,0,0.722,0,0.55,0.611,0.76,1,0,1,0,2025-09-27,consumption_gap,consumption_gap
LAB-007,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,0,active,2026-01-27,180,False,13500,9197.28,4647.48,13844.76,0.0,0.827,0.373,0.193,11141.63,5041.52,2611.45,908.99,30.3,220.39,107.21,53.88,2380.0,92.6,77.5,31.14,1,0.402,0.338,0.444,1359.9,33.19,30.87,0.571,0.964,1,0.128,1,0.67,1.0,0.94,0,0,1,0,2025-09-08,baseline,baseline
LAB-008,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2025-12-18,240,False,16800,7650.77,10113.85,17764.62,0.0,1.12,1.12,1.12,16647.22,18809.1,18809.1,801.79,26.73,10.48,10.48,10.48,2440.0,123.3,98.55,21.8,0,0.221,0.305,0.428,715.0,13.57,44.64,0.293,0.908,1,0.696,0,0.369,1.0,0.847,0,0,1,0,2025-08-16,baseline,baseline
LAB-009,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2026-03-04,240,False,16800,9435.72,5069.87,14505.59,2294.41,0.25,0.219,0.124,4567.78,3682.85,2089.71,211.25,7.04,168.87,145.47,68.19,598.4,24.4,21.68,9.91,5,0.457,0.315,0.272,94.2,9.7,43.67,0.157,0.811,0,0.122,1,0.762,0.716,0.874,0,1,0,0,2025-08-20,fault_alert,fault_alert
