Reporte de errores del motor,,"oct. 05, 2025",,,,,,,,,
DIDCOM IOT,,,,,,,,,,,
,,,,,,,,,,,
Fecha,,,,,,,,,,,
Desde,"oct. 05, 2025",,,,,,,,,,
Hasta,"oct. 05, 2025",,,,,,,,,,
Días,1,,,,,,,,,,
,,,,,,,,,,,
Huso horario,America/Mexico_City,,,,,,,,,,
,,,,,,,,,,,
Dispositivo,Grupo de dispositivos,Fecha,Fecha de descarte,Usuario que lo descarta,Descripción,Modo de Falla,Fuente,Controlador de motor,Código,,
A-05501-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:01:27 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Firmware update applied,,Telematics Device,Telematics device,132,,
A-05502-A,"Vehicle, Conductores del mundo","oct. 05, 2025 2:27:34 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Firmware update applied,,Telematics Device,Telematics device,132,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 9:26:27 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 9:26:27 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 9:26:47 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 10:22:40 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 10:22:40 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 10:23:00 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 11:02:04 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 11:02:04 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
