Reporte de errores del motor,,"oct. 05, 2025",,,,,,,,,
DIDCOM IOT,,,,,,,,,,,
,,,,,,,,,,,
Fecha,,,,,,,,,,,
Desde,"sep. 01, 2025",,,,,,,,,,
Hasta,"sep. 30, 2025",,,,,,,,,,
Días,30,,,,,,,,,,
,,,,,,,,,,,
Huso horario,America/Mexico_City,,,,,,,,,,
,,,,,,,,,,,
Dispositivo,Grupo de dispositivos,Fecha,Fecha de descarte,Usuario que lo descarta,Descripción,Modo de Falla,Fuente,Controlador de motor,Código,,
A-05355-A,"Vehicle, Conductores del mundo","sep. 04, 2025 7:23:36 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Firmware update applied,,Telematics Device,Telematics device,132,,
A-05355-A,"Vehicle, Conductores del mundo","sep. 08, 2025 10:39:45 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Telematics device fault: internal reset initiated,,Telematics Device,Telematics device,292,,
A-05355-A,"Vehicle, Conductores del mundo","sep. 08, 2025 12:46:50 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Telematics device fault: internal reset initiated,,Telematics Device,Telematics device,292,,
A-05355-A,"Vehicle, Conductores del mundo","sep. 08, 2025 4:53:54 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Telematics device fault: internal reset initiated,,Telematics Device,Telematics device,292,,
A-05355-A,"Vehicle, Conductores del mundo","sep. 08, 2025 6:00:58 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Telematics device fault: internal reset initiated,,Telematics Device,Telematics device,292,,
A-05355-A,"Vehicle, Conductores del mundo","sep. 09, 2025 3:08:04 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Telematics device fault: internal reset initiated,,Telematics Device,Telematics device,292,,
A-05355-A,"Vehicle, Conductores del mundo","sep. 22, 2025 2:35:32 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Telematics device fault: internal reset initiated,,Telematics Device,Telematics device,292,,
A-05355-A,"Vehicle, Conductores del mundo","sep. 22, 2025 2:40:52 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Telematics device fault: internal reset initiated,,Telematics Device,Telematics device,292,,
A-05355-A,"Vehicle, Conductores del mundo","sep. 22, 2025 3:17:59 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Telematics device fault: internal reset initiated,,Telematics Device,Telematics device,292,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 13, 2025 1:16:24 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Fallo de dispositivo telemático: Se eliminó toda la energía y se reinició el dispositivo,,Telematics Device,Telematics device,130,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 13, 2025 1:33:07 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Device reset due to parameter change,,Telematics Device,Telematics device,377,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 13, 2025 1:36:35 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Calibración del acelerómetro en curso (se requiere más conducción),,Telematics Device,Telematics device,281,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 13, 2025 1:39:14 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Alerta: Se excedió el límite de aceleración para colisiones,,Telematics Device,Telematics device,166,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 13, 2025 1:47:39 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Calibración del acelerómetro en curso (se requiere más conducción),,Telematics Device,Telematics device,281,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 13, 2025 1:49:30 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Calibración del acelerómetro en curso (se requiere más conducción),,Telematics Device,Telematics device,281,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 13, 2025 1:58:44 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Calibración del acelerómetro en curso (se requiere más conducción),,Telematics Device,Telematics device,281,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 14, 2025 6:29:54 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Firmware update applied,,Telematics Device,Telematics device,132,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 14, 2025 6:36:34 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Device reset due to parameter change,,Telematics Device,Telematics device,377,,
A-05501-A,"Vehicle, Conductores del mundo","sep. 22, 2025 4:45:12 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Telematics device fault: internal reset initiated,,Telematics Device,Telematics device,292,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 5:35:35 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 5:35:36 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 5:35:55 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 8:47:12 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 8:47:13 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
